,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Faith,Faith - Remastered,George Michael,['George Michael'],0HEmnAUT8PHznIAAmVXqFJ,0.887,0.48,11.0,-11.994,1.0,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200.0,4.0
1,So Emotional,So Emotional,Whitney Houston,['Whitney Houston'],4l2Edgdj4vla02GCh7YyAv,0.698,0.791,11.0,-10.012,0.0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,276667.0,4.0
2,Is This Love,Is This Love - 2018 Remaster,Whitesnake,['Whitesnake'],0IhUdJRoolbYeEMPL59XPm,0.263,0.759,0.0,-7.288,1.0,0.0431,0.0555,0.0,0.231,0.429,179.904,284496.0,4.0
3,Got My Mind Set On You,Got My Mind Set On You - Remastered 2004,George Harrison,['George Harrison'],3OeUlriM0EZHdWleJtjoVr,0.767,0.854,4.0,-6.947,1.0,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653.0,4.0
4,Shake Your Love,Shake Your Love,Debbie Gibson,['Debbie Gibson'],6gM3uxq9TPkms83bTSlK10,0.784,0.746,11.0,-10.681,0.0,0.0477,0.405,0.0,0.0568,0.83,120.55,222933.0,4.0
5,Don't You Want Me,,Jody Watley,,,,,,,,,,,,,,,
6,The Way You Make Me Feel,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,['Michael Jackson'],0sKlV58cODrjxGFOyf9IXY,0.877,0.854,1.0,-4.523,1.0,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120.0,4.0
7,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",,Pretty Poison,,,,,,,,,,,,,,,
8,Cherry Bomb,Cherry Bomb,John Mellencamp,['John Mellencamp'],43oPpqzWPSZmeiwYicmzjG,0.744,0.945,7.0,-3.266,1.0,0.0286,0.0509,1.41e-06,0.0435,0.961,113.882,287107.0,4.0
9,Need You Tonight,Need You Tonight,INXS,['INXS'],5eU8qMd0TpaLqTGDZJaLDs,0.801,0.723,10.0,-4.985,0.0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518.0,4.0
10,Valerie,Valerie,Steve Winwood,['Steve Winwood'],3aAuIvgJGdp4wWd60riWfB,0.717,0.527,9.0,-10.779,1.0,0.0292,0.567,0.00668,0.0785,0.731,116.288,246667.0,4.0
11,Tell It To My Heart(Dub),Tell It to My Heart - Dub Mix,Taylor Dayne,['Taylor Dayne'],28fHjGEDS9P4uLah3tN77i,0.701,0.987,1.0,-6.718,1.0,0.0757,0.00706,0.0559,0.33,0.935,119.104,346813.0,4.0
12,Candle In The Wind,Candle In The Wind - Remastered 2014,Elton John,['Elton John'],1L9fzw2pXprOqtemTwtxXF,0.602,0.536,4.0,-9.74,1.0,0.0288,0.183,1.9e-05,0.0802,0.506,124.558,228933.0,4.0
13,Dude (Looks Like A Lady),Dude (Looks Like A Lady),Aerosmith,['Aerosmith'],6gQUbFwwdYXlKdmqRoWKJe,0.54,0.982,4.0,-2.962,0.0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773.0,4.0
14,Hazy Shade Of Winter,Hazy Shade of Winter,The Bangles,['The Bangles'],0P2vAvvWni2tNXOdbH3JFk,0.481,0.866,5.0,-7.143,0.0,0.0446,0.00892,0.0,0.097,0.426,150.427,167160.0,4.0
15,Could've Been,Could’ve Been,Tiffany,['Tiffany'],5HNstg5iwAVAa0xT83pWTN,0.361,0.35,11.0,-8.081,1.0,0.0301,0.401,0.0117,0.205,0.228,95.83,217560.0,3.0
16,Heaven Is A Place On Earth,Heaven Is A Place On Earth,Belinda Carlisle,['Belinda Carlisle'],58mFu3oIpBa0HLNeJIxsw3,0.64,0.81,4.0,-10.19,1.0,0.033,0.031,2.22e-06,0.0492,0.804,122.868,247293.0,4.0
17,There's The Girl,There's The Girl,Heart,['Heart'],5qMNvVFTJoTLkaXbudbVNF,0.586,0.814,11.0,-12.941,0.0,0.0314,0.271,0.0,0.338,0.71,130.392,230067.0,4.0
18,Animal,Animal,Def Leppard,['Def Leppard'],4qjscZh4jfhkpcQG4ZQfi2,0.583,0.921,11.0,-5.215,1.0,0.0468,0.00153,0.0178,0.188,0.613,119.526,244560.0,4.0
19,Seasons Change,Seasons Change,Expose,['Exposé'],4b2qn7YRQkVAsbC8pWa7yn,0.571,0.494,9.0,-13.169,0.0,0.0285,0.252,0.00078,0.318,0.601,174.186,292533.0,4.0
20,(I've Had) The Time Of My Life,,Bill Medley & Jennifer Warnes,,,,,,,,,,,,,,,
21,Crazy,Crazy,Icehouse,['ICEHOUSE'],4tmXsNoNOk37DPBhVk5wK1,0.516,0.949,5.0,-3.512,1.0,0.125,0.0162,0.0045,0.319,0.367,115.593,203920.0,4.0
22,I Could Never Take The Place Of Your Man,I Could Never Take The Place Of Your Man - 2020 Remaster,Prince,['Prince'],1tYLo4i7MAW4OW2J3OpOJD,0.62,0.775,0.0,-9.528,1.0,0.0276,0.0475,0.0348,0.213,0.772,147.804,388896.0,4.0
23,That's What Love Is All About,That's What Love Is All About,Michael Bolton,['Michael Bolton'],3jfNEa2KqRxycjfmsocEih,0.527,0.273,5.0,-15.253,1.0,0.0378,0.792,2.45e-05,0.124,0.17,121.79,237627.0,4.0
24,"Hungry Eyes (From ""Dirty Dancing"")",,Eric Carmen,,,,,,,,,,,,,,,
25,I Want To Be Your Man,I Want to Be Your Man,Roger,['Roger'],3C6xVHlZ8Z7cAzt63xdxH3,0.557,0.607,5.0,-9.316,0.0,0.0551,0.0376,0.0,0.0635,0.457,81.648,249867.0,4.0
26,Power Of Love,Power of Love,Laura Branigan,['Laura Branigan'],431HgPSwQBZOtcEnAFMDyM,0.408,0.581,7.0,-7.926,1.0,0.0365,0.436,0.000239,0.145,0.212,137.028,325253.0,4.0
27,We'll Be Together,Oh Carolina/We’ll Be Together (with Shaggy) - Live,Sting,"['Sting', 'Shaggy']",2lj2TZc3z9jnuZPwqFLZXQ,0.794,0.75,5.0,-4.952,1.0,0.0389,0.462,2.52e-05,0.716,0.961,119.942,239554.0,4.0
28,Should've Known Better,,Richard Marx,,,,,,,,,,,,,,,
29,Tunnel Of Love,Tunnel of Love,Bruce Springsteen,['Bruce Springsteen'],2rUHBIfbMBB92n1gSfSqwF,0.587,0.675,5.0,-11.787,1.0,0.0366,0.0501,0.00243,0.479,0.664,116.954,309760.0,4.0
30,I Live For Your Love,I Live For Your Love,Natalie Cole,['Natalie Cole'],2F5967tZnDS7onX4ZYgjW5,0.335,0.361,6.0,-9.431,1.0,0.0318,0.864,0.115,0.13,0.169,84.526,267067.0,4.0
31,True Faith,True Faith - 2015 Remaster,New Order,['New Order'],5uyJ7fbjk6xZzt5UL5jcQg,0.608,0.924,0.0,-5.919,1.0,0.035,0.261,0.012,0.338,0.948,117.231,252053.0,4.0
32,Say You Will,Say You Will,Foreigner,['Foreigner'],3w1f2yVNCc5SSn3m3F9FjL,0.72,0.72,3.0,-7.383,0.0,0.0264,0.195,0.0,0.0448,0.636,126.04,255653.0,4.0
33,Don't Shed A Tear,,Paul Carrack,,,,,,,,,,,,,,,
