,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,I'm Your Angel,R. Kelly & Celine Dion,,,,,,,,,,,,,,
1,Nobody's Supposed to Be Here,['Deborah Cox'],51QxenFmXlJXUN9mpvxlaL,0.662,0.531,8.0,-5.3,1.0,0.0361,0.202,1.16e-05,0.595,0.399,119.957,262333.0,4.0
2,Lately,Divine,,,,,,,,,,,,,,
3,...Baby One More Time,['Britney Spears'],3MjUtNVVq3C8Fn0MP3zhXa,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067.0,4.0
4,Because Of You,['98º'],25tmiXojR7whvZDz3LpMb2,0.732,0.603,0.0,-7.624,1.0,0.0271,0.341,0.0,0.113,0.514,104.498,297893.0,4.0
5,From This Moment On - Pop On-Tour Version,['Shania Twain'],0vswnzoKvhNkT1ehc0Tt19,0.46,0.505,9.0,-5.487,1.0,0.0266,0.42,0.0,0.134,0.22,135.757,235107.0,4.0
6,Doo Wop (That Thing),['Ms. Lauryn Hill'],0uEp9E98JB5awlA084uaIg,0.535,0.505,2.0,-8.926,0.0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267.0,4.0
7,Trippin',Total Featuring Missy Elliott,,,,,,,,,,,,,,
8,Have You Ever,['Brandy'],6tBD4yjOf9P8rWwUlXdJFm,0.698,0.533,2.0,-6.246,1.0,0.0437,0.542,0.0,0.333,0.275,134.001,273440.0,4.0
9,Love Like This,['Faith Evans'],7MQywXGHEev7JmwwIzMcao,0.767,0.551,0.0,-7.328,1.0,0.0616,0.00364,0.0,0.0451,0.796,100.904,275707.0,4.0
10,Spice Chat 2 “Shall We Say ‘Goodbye’ Then?’,['Spice Girls'],3BDGPPDaW1dwVjOoLO5uPl,0.605,0.235,8.0,-12.844,1.0,0.105,0.855,0.0,0.0823,0.867,122.862,48400.0,3.0
11,Lullaby,['Shawn Mullins'],5sMUwUR3JI2woCOrNbizUt,0.509,0.833,7.0,-5.337,1.0,0.0597,0.0398,0.00257,0.207,0.569,79.935,330667.0,4.0
12,Save Tonight,['Eagle-Eye Cherry'],1t2Hq2WIBcZINOEnK6mdJG,0.547,0.693,0.0,-8.786,1.0,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,239227.0,4.0
13,This Kiss,['Faith Hill'],5EYWGM3Ns3iYew8ws0FatB,0.398,0.804,11.0,-5.559,1.0,0.0451,0.175,0.0,0.181,0.709,186.752,194307.0,4.0
14,Hands,['Jewel'],615auKcis6sGDrHk6UTeog,0.643,0.495,5.0,-10.176,0.0,0.0292,0.421,0.00123,0.082,0.319,127.219,235000.0,4.0
15,Slide,['The Goo Goo Dolls'],0nnwn7LWHCAu09jfuH1xTA,0.395,0.843,8.0,-4.476,1.0,0.0374,0.00483,0.0,0.0404,0.481,112.423,212067.0,4.0
16,Jumper - 1998 Edit,['Third Eye Blind'],3354J49VpkbZJho7Ztdzpw,0.599,0.543,0.0,-9.226,1.0,0.0302,0.0129,0.00204,0.291,0.624,91.105,272973.0,4.0
17,Love Me,112 Featuring Mase,,,,,,,,,,,,,,
18,I Don't Want To Miss A Thing,['Mark Chesnutt'],3FN7JMZaaQ9lSzIaan0YZ1,0.496,0.47,10.0,-10.415,1.0,0.0333,0.0268,0.0,0.134,0.151,122.094,246227.0,4.0
19,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,,,,,,,,,,,,,,
20,Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony,,,,,,,,,,,,,,
21,Iris,['The Goo Goo Dolls'],6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11.0,-8.072,0.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533.0,3.0
22,The First Night,['Monica'],5rWzxloNXvbRPhlC1O2b6T,0.671,0.766,1.0,-9.218,0.0,0.0634,0.139,0.0,0.26,0.906,152.088,235573.0,4.0
23,Take Me There,BLACKstreet & Mya Featuring Mase & Blinky Blink,,,,,,,,,,,,,,
24,Angel,['Sarah McLachlan'],3xZMPZQYETEn4hjor3TR1A,0.532,0.0744,1.0,-16.092,1.0,0.0355,0.949,1.22e-05,0.106,0.125,117.131,270400.0,3.0
25,I'll Be,Edwin McCain,,,,,,,,,,,,,,
26,My Favorite Mistake,['Sheryl Crow'],1LAW7bK2NUJfrnmy2KRCs3,0.613,0.754,4.0,-8.191,0.0,0.0318,0.00594,0.000318,0.33,0.576,104.651,245093.0,4.0
27,How Deep Is Your Love,Dru Hill Featuring Redman,,,,,,,,,,,,,,
28,Miami,['Will Smith'],6e8Ou0wiqAzIpWb2eSxll8,0.877,0.534,1.0,-6.178,1.0,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,197560.0,4.0
29,Pushin' Weight,Ice Cube Featuring Mr. Short Khop,,,,,,,,,,,,,,
30,These Are The Times,['Dru Hill'],0OMmiWMwsCNtpQ5aP6fdp9,0.718,0.473,9.0,-9.278,0.0,0.0267,0.106,0.0,0.0964,0.384,109.992,248400.0,4.0
31,Thank U,['Alanis Morissette'],3CVDronuSnhguSUguPoseM,0.672,0.616,0.0,-5.764,1.0,0.0258,0.379,2.73e-05,0.0887,0.566,92.094,258773.0,4.0
32,Touch It,['Monifah'],3upCmUgdchN3u0vkedbC5S,0.863,0.476,8.0,-10.019,0.0,0.0932,0.0307,0.0515,0.0706,0.783,115.459,285827.0,4.0
33,Inside Out,['Eve 6'],4GiVcDqNQI0fc0yYuRGH9m,0.483,0.818,11.0,-7.666,1.0,0.0444,0.114,0.0,0.367,0.691,175.668,219467.0,4.0
34,(God Must Have Spent) A Little More Time On You - Remix,['*NSYNC'],72otaqywVqwyXaCjk75JKm,0.469,0.535,10.0,-8.264,1.0,0.0436,0.438,0.0,0.101,0.294,167.994,243493.0,4.0
35,Angel of Mine,['Monica'],1AM1o0mKbgAK5oMpY8B3Z7,0.592,0.562,10.0,-6.869,0.0,0.0239,0.00373,3.23e-05,0.223,0.208,90.16,250173.0,4.0
36,One Week,['Barenaked Ladies'],29hBRadFZf9QTGRHZmxm65,0.702,0.898,9.0,-6.003,1.0,0.0373,0.00854,0.000154,0.0917,0.731,112.845,169760.0,4.0
37,Hard Knock Life (Ghetto Anthem),['JAY-Z'],5Tl0HJvynZtKdSUMKbFVVX,0.884,0.679,10.0,-5.857,0.0,0.282,0.0957,0.00209,0.0289,0.591,76.993,238467.0,4.0
38,Too Close,['Next'],5IFCyWplye09HytIP80RCF,0.847,0.402,7.0,-9.952,1.0,0.0641,0.0118,0.0,0.283,0.752,99.693,259440.0,4.0
39,Hold Me,Brian McKnight Featuring Tone & Kobe Bryant,,,,,,,,,,,,,,
40,All The Places (I Will Kiss You),['Aaron Hall'],5zJAnQ1NFfks3SRbIRLVSM,0.722,0.423,0.0,-5.711,0.0,0.0566,0.0161,2.11e-06,0.0603,0.353,136.039,240133.0,4.0
41,You're Beginning To Get To Me,Clay Walker,,,,,,,,,,,,,,
42,The Power of Good-Bye,['Madonna'],01VFDkHBNJcCNUjzD3flWg,0.534,0.561,5.0,-11.089,0.0,0.0409,0.0442,0.678,0.189,0.219,84.978,250560.0,4.0
43,Changes,"['2Pac', 'Talent']",1ofhfV90EnYhEr7Un2fWiv,0.865,0.665,7.0,-6.289,1.0,0.073,0.0453,0.0,0.224,0.331,111.113,268827.0,4.0
44,There You Have It,['BlackHawk'],5iYhLXMXR4r335x9MrTvRE,0.711,0.667,4.0,-5.75,1.0,0.0258,0.22,0.0,0.354,0.776,113.655,192267.0,4.0
45,Someone You Used To Know,['Collin Raye'],022rVz5n3Ga5CelWqme1Sb,0.589,0.369,9.0,-11.477,1.0,0.0242,0.123,2.21e-06,0.114,0.295,98.997,225440.0,4.0
46,Are You That Somebody,['Aaliyah'],1sSuFkO3m3Cr6YN24NYol5,0.85,0.657,9.0,-7.078,0.0,0.166,0.14,0.0192,0.0939,0.843,137.971,265667.0,4.0
47,Wrong Again,['Martina McBride'],76aUexA11Kh7KUt86xQM4l,0.563,0.507,0.0,-6.59,1.0,0.0265,0.224,0.0,0.0874,0.0847,141.513,195467.0,4.0
48,You're Easy On The Eyes,Terri Clark,,,,,,,,,,,,,,
49,You Get What You Give,['New Radicals'],1Cwsd5xI8CajJz795oy4XF,0.621,0.901,2.0,-5.396,1.0,0.0302,0.17,0.0,0.0875,0.744,113.967,300773.0,4.0
50,Right On the Money,['Alan Jackson'],0wRx3vTTQAvvZcfIoOix3n,0.762,0.415,3.0,-11.262,1.0,0.0302,0.423,0.0,0.316,0.567,113.975,229827.0,4.0
51,Fly Away,['Lenny Kravitz'],1OxcIUqVmVYxT6427tbhDW,0.587,0.872,7.0,-5.066,1.0,0.0484,0.018,0.0,0.622,0.735,159.925,221333.0,4.0
52,For You I Will,['Aaron Tippin'],0A9UuGGkuYnRy9JqMBSAWb,0.652,0.561,1.0,-7.271,1.0,0.0247,0.137,0.00309,0.12,0.385,107.747,211733.0,4.0
53,No Place That Far,['Sara Evans'],0Rg5tIACULED7Jv2sEzWSd,0.547,0.373,0.0,-7.336,1.0,0.0273,0.504,0.0,0.176,0.182,132.741,217400.0,4.0
54,"Spirit Of A Boy, Wisdom Of A Man",['Randy Travis'],1R1SbRYJsZzvjk5y22BsCV,0.519,0.398,3.0,-10.968,1.0,0.0273,0.608,1.79e-05,0.11,0.247,71.932,230040.0,3.0
55,Come And Get With Me,Keith Sweat Featuring Snoop Dogg,,,,,,,,,,,,,,
56,Pretty Fly (For A White Guy),['The Offspring'],3SFXsFpeGmBTtQvKiwYMDA,0.723,0.895,11.0,-3.707,0.0,0.102,0.088,0.0,0.0717,0.963,143.373,188667.0,4.0
57,Believe,['Cher'],2goLsvvODILDzeeiT4dAoR,0.652,0.917,6.0,-6.72,1.0,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027.0,4.0
58,Rosa Parks,['Outkast'],0shK5iZQppbHPQYiy60xs9,0.792,0.701,6.0,-7.198,0.0,0.283,0.105,0.0,0.761,0.251,103.89,324373.0,4.0
59,Husbands And Wives,['Brooks & Dunn'],4PADeWvTB1GbqdFO9n7JX4,0.507,0.388,5.0,-8.069,1.0,0.027,0.653,0.000216,0.162,0.12,105.601,190347.0,3.0
60,For A Little While,['Tim McGraw'],6SvT6aiC3gfSZsNZBpPH4c,0.554,0.815,7.0,-7.954,1.0,0.0256,0.133,0.0,0.0778,0.618,99.333,213893.0,4.0
61,Let's Go to Vegas,['Faith Hill'],39HccIrICWp9EBD8MunAUW,0.587,0.736,7.0,-6.815,1.0,0.0381,0.321,0.0,0.0313,0.969,176.993,191707.0,4.0
62,Stand Beside Me,['Jo Dee Messina'],6bZOZIVFWpCydhyXrqP1iR,0.587,0.72,0.0,-7.746,1.0,0.0278,0.179,0.0,0.0878,0.33,99.916,224640.0,4.0
63,When You Believe,Whitney Houston & Mariah Carey,,,,,,,,,,,,,,
64,Hold on to Me,['John Michael Montgomery'],4PVE40zZNMEFJi5MA3Ph9z,0.488,0.425,10.0,-9.407,1.0,0.0262,0.333,0.0,0.104,0.233,165.06,251200.0,3.0
65,It's All Been Done,['Barenaked Ladies'],1VBRdl1sT4DGckQaTzKEB9,0.521,0.919,2.0,-3.146,1.0,0.0475,0.000173,0.00218,0.301,0.746,131.726,206000.0,4.0
66,Sweetest Thing,['U2'],7ndGFo9nZ108KPgXtfYWCe,0.524,0.641,0.0,-8.967,1.0,0.0497,0.0437,2.78e-05,0.159,0.482,141.65,184543.0,4.0
67,Fly - The Angel Song,['The Wilkinsons'],48jSA0lHI6q7v4DhK23mYz,0.531,0.47,6.0,-8.004,1.0,0.0331,0.571,0.0,0.0688,0.246,170.395,222667.0,4.0
68,Wherever You Go,['Voices of Theory'],4G3HuXbtn7AwtW4aCIaMxx,0.527,0.461,11.0,-7.57,1.0,0.0252,0.687,0.0,0.187,0.261,107.836,339760.0,4.0
69,When a Woman's Fed Up,['R. Kelly'],015A6ZcNAWSSuwY7iDcD1b,0.682,0.579,2.0,-6.526,0.0,0.101,0.467,2.21e-06,0.0952,0.712,76.915,278760.0,4.0
70,Wrong Night,['Reba McEntire'],3LYHh0VAiQhcw2rgqhtNf4,0.532,0.95,9.0,-4.123,1.0,0.106,0.103,0.0,0.315,0.898,156.815,171027.0,4.0
71,Unbelievable,['Diamond Rio'],2zNuaa0jBttcqSeURO6Odt,0.765,0.596,11.0,-7.586,1.0,0.0518,0.5,0.0,0.289,0.941,158.112,141533.0,3.0
