,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Like a Virgin,['Madonna'],1ZPlNanZsJSPK5h9YZZFbZ,0.771,0.655,3.0,-10.842,0.0,0.0372,0.152,0.00197,0.0685,0.97,119.747,218627.0,4.0
1,The Wild Boys,['Duran Duran'],3dufX2qMdONkKps7W85vP3,0.754,0.827,11.0,-7.128,0.0,0.0612,0.372,0.0,0.113,0.649,115.798,258973.0,4.0
2,Sea of Love - 2006 Remaster,['The Honeydrippers'],0VMGij4wSGBM5pSTcqjxeD,0.422,0.411,7.0,-9.004,1.0,0.0257,0.111,0.00113,0.324,0.393,82.737,183880.0,4.0
3,Cool It Now,['New Edition'],5LkcAjqj5NOctNGi2qUjlw,0.871,0.532,10.0,-13.335,0.0,0.0677,0.126,0.00819,0.321,0.74,116.574,347667.0,4.0
4,We Belong,['Pat Benatar'],665Jxlgi1HamPKbW1vwzx4,0.706,0.322,5.0,-14.108,1.0,0.0467,0.528,2.37e-06,0.576,0.305,135.154,221133.0,4.0
5,All I Need,['Jack Wagner'],7LLBFAlUOE6rUHDePQL57a,0.475,0.375,9.0,-12.023,1.0,0.0282,0.468,0.0,0.162,0.166,140.277,209493.0,4.0
6,Out of Touch,['Daryl Hall & John Oates'],7o67roCVsFiCt7Cf0ZLOJq,0.806,0.649,9.0,-9.004,0.0,0.0347,0.0391,5.55e-05,0.0557,0.897,114.834,249573.0,4.0
7,Run To You,['Bryan Adams'],2RWFncSWZEhSRRifqiDNVV,0.561,0.811,4.0,-6.157,1.0,0.0265,0.00515,3.6e-05,0.287,0.635,126.593,233270.0,4.0
8,You're The Inspiration,Chicago,,,,,,,,,,,,,,
9,Valotte,['Julian Lennon'],6lTaVAtnxa69VgRwxOcMsJ,0.571,0.512,0.0,-9.73,1.0,0.0259,0.238,0.0773,0.0998,0.188,72.17,257040.0,4.0
10,Born in the U.S.A.,['Bruce Springsteen'],0dOg1ySSI7NkpAe89Zo0b9,0.398,0.952,4.0,-6.042,1.0,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680.0,4.0
11,I Feel for You,['Chaka Khan'],5yR9u8QiOt8hJaddv32oo7,0.698,0.912,11.0,-8.993,1.0,0.0675,0.0145,0.0222,0.279,0.797,124.916,343400.0,4.0
12,Do What You Do,['Jermaine Jackson'],6gmLSRnCGWaPeO64miR2Rr,0.573,0.462,1.0,-9.634,0.0,0.0256,0.448,0.0,0.232,0.399,112.682,252547.0,4.0
13,I Want to Know What Love Is - 1999 Remaster,['Foreigner'],1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,6.0,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787.0,4.0
14,No More Lonely Nights,['Paul McCartney'],4ybDW0xfRBCPwsjwFOUzZW,0.315,0.428,5.0,-11.558,1.0,0.036,0.00987,2.68e-05,0.144,0.449,177.105,287693.0,4.0
15,Easy Lover,Philip Bailey With Phil Collins,,,,,,,,,,,,,,
16,Understanding,['Bob Seger'],4oBLp0Gx8xoxhq4DXcQ7ps,0.731,0.756,9.0,-5.95,1.0,0.0266,0.0766,8.91e-05,0.0448,0.514,119.61,224667.0,4.0
17,Jamie,['Ray Parker Jr.'],5yHQ8xAHLuQ2VZH3dgTPZE,0.809,0.548,2.0,-10.196,1.0,0.0331,0.202,0.00337,0.0494,0.843,111.785,256467.0,4.0
18,The Boys Of Summer,['Don Henley'],4gvea7UlDkAvsJBPZAd4oB,0.516,0.549,6.0,-13.741,1.0,0.0373,0.501,0.00572,0.184,0.907,176.941,288733.0,4.0
19,Do They Know It's Christmas? - 1984 Version,['Band Aid'],0247StOpd3AkeBQzANX4Zf,0.599,0.642,0.0,-6.936,1.0,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533.0,4.0
20,All Through the Night,['Cyndi Lauper'],2CIDqYfIYfl9vx02wIyCG9,0.573,0.65,8.0,-5.934,1.0,0.0257,0.201,1.58e-06,0.048,0.346,95.1,272840.0,4.0
21,I Can't Hold Back,['Survivor'],46NtQJH1eok28bucLlHqQT,0.509,0.681,4.0,-10.659,1.0,0.0306,0.499,5.36e-05,0.1,0.33,143.645,238800.0,4.0
22,Careless Whisper,Wham! Featuring George Michael,,,,,,,,,,,,,,
23,Centipede,['Rebbie Jackson'],7dox9B92nanss0YuviceR9,0.539,0.657,11.0,-8.485,1.0,0.0586,0.0793,0.000328,0.183,0.658,117.137,270627.0,4.0
24,I Would Die 4 U,['Prince'],6fBwVe6udYdnRqwqo06if8,0.731,0.75,2.0,-10.457,1.0,0.0321,0.0862,0.000388,0.202,0.639,135.406,178987.0,4.0
25,Lover Boy,Billy Ocean,,,,,,,,,,,,,,
26,Wake Me Up Before You Go-Go,['Wham!'],0ikz6tENMONtK6qGkOrU3c,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,231333.0,4.0
27,Hello Again,['The Cars'],6HFpfx0Efw1ckqKTLVrMQy,0.861,0.834,11.0,-7.626,0.0,0.0464,0.218,0.0264,0.23,0.914,129.109,228867.0,4.0
28,Bruce,['Rick Springfield'],6AvKwKOC46N8GupphdSNiu,0.551,0.762,9.0,-11.167,1.0,0.0791,0.0663,0.0,0.133,0.776,132.583,216840.0,4.0
29,Penny Lover,['Lionel Richie'],4J13x9ukE3h3wqwHcAJB0Y,0.712,0.381,8.0,-14.293,1.0,0.0276,0.205,5.42e-06,0.0364,0.667,98.222,335173.0,4.0
30,Love Light In Flight,['Stevie Wonder'],5TKz8J4Noz4nZSFIOpHpMm,0.602,0.733,1.0,-12.651,1.0,0.0992,0.0921,1.51e-05,0.132,0.945,217.396,414067.0,4.0
31,Neutron Dance,['The Pointer Sisters'],3Uyxe1fbF4zWSEwy38qgMw,0.752,0.839,9.0,-6.879,1.0,0.0503,0.0236,0.0,0.263,0.864,104.794,253413.0,4.0
32,Tender Years,['John Cafferty & the Beaver Brown Band'],2cL360CDEVWtavnqLu32sI,0.534,0.45,7.0,-13.076,1.0,0.0255,0.0111,7.31e-05,0.535,0.63,101.288,282440.0,4.0
33,The Belle of St. Mark,['Sheila E.'],5I0620xa6ecXZinsDUUcYF,0.612,0.806,1.0,-7.456,1.0,0.0479,0.0319,1.44e-06,0.168,0.676,79.142,306573.0,4.0
34,Method of Modern Love,['Daryl Hall & John Oates'],58U8hRjWQdGCGQ1Y42SJFp,0.714,0.726,5.0,-6.621,0.0,0.0569,0.0708,2.15e-05,0.093,0.753,94.203,333933.0,4.0
35,Solid,['Ashford & Simpson'],4sr4NdrPfds9Qfors9UkiO,0.814,0.474,0.0,-12.017,1.0,0.0309,0.27,8.16e-06,0.599,0.956,101.241,312000.0,4.0
36,Foolish Heart,['Steve Perry'],4mxkQkZSX1BWgIYh5Q2Jt9,0.644,0.58,11.0,-6.819,1.0,0.0226,0.281,0.0,0.0652,0.591,96.475,219720.0,4.0
37,Call To The Heart,['Giuffria'],3FK5tOrXKOWV3HIBqIJ0KM,0.497,0.829,7.0,-4.068,1.0,0.0428,0.0984,2.57e-06,0.222,0.117,114.404,277000.0,4.0
38,Jungle Love,['The Time'],0QUpBXTOdB4JJyTGFN6dH1,0.761,0.641,8.0,-13.466,0.0,0.0445,0.0713,0.0269,0.483,0.822,119.61,333360.0,4.0
39,Misled,['Kool & The Gang'],1kMInPKhtOag4FX4cMlqOT,0.827,0.643,11.0,-7.806,1.0,0.0455,0.012,0.00239,0.0365,0.938,122.373,246293.0,4.0
40,In Neon,['Elton John'],7lt7Ln4T1msZFAOyuLvs1I,0.58,0.391,8.0,-12.97,1.0,0.0347,0.647,0.000354,0.141,0.21,143.645,259200.0,3.0
41,Strut,['Sheena Easton'],6gFIFMI3tsrM5QojcvVMfZ,0.91,0.751,1.0,-11.29,1.0,0.039,0.295,0.00214,0.141,0.975,114.659,240960.0,4.0
42,Operator,['Midnight Star'],4rLmt4hvKAx5C1PRpj1lg6,0.804,0.827,11.0,-8.188,0.0,0.0441,0.0112,0.00388,0.0909,0.7,125.276,448240.0,4.0
43,Pride (In The Name Of Love) - Remastered 2009,['U2'],3dh2LlmeMqKJbzn2WUgt3d,0.458,0.843,4.0,-7.201,1.0,0.0316,0.00135,0.000296,0.778,0.713,105.701,228427.0,4.0
44,Mistake No. 3,Culture Club,,,,,,,,,,,,,,
45,Tenderness,['General Public'],7cRWPAHuHQ36agbu6Empc8,0.564,0.858,0.0,-11.259,1.0,0.0378,0.338,0.181,0.317,0.847,89.911,218160.0,4.0
46,Money Changes Everything,['Cyndi Lauper'],5C2O6Tr274KQNxcmPnk2t2,0.594,0.883,6.0,-4.013,1.0,0.0375,0.0186,6.14e-05,0.331,0.706,120.465,305560.0,4.0
