,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Un-Break My Heart,Un-Break My Heart,Toni Braxton,['Toni Braxton'],5Ihd9HrPvOADyVoonH9ZjB,0.625,0.426,2.0,-8.4,0.0,0.0271,0.412,0.0,0.116,0.112,110.021,270333.0,4.0
1,"I Believe I Can Fly (From ""Space Jam"")",,R. Kelly,,,,,,,,,,,,,,,
2,Don't Let Go (Love),,En Vogue,,,,,,,,,,,,,,,
3,No Diggity,,BLACKstreet (Featuring Dr. Dre),,,,,,,,,,,,,,,
4,Nobody,,Keith Sweat Featuring Athena Cage,,,,,,,,,,,,,,,
5,"I Believe In You And Me (From ""The Preacher's Wife"")",,Whitney Houston,,,,,,,,,,,,,,,
6,Mouth,Mouth,Merril Bainbridge,['Merril Bainbridge'],11Ki2bHWXTEug0DAfKcDDD,0.695,0.499,1.0,-9.201,1.0,0.218,0.702,5.85e-05,0.154,0.78,175.896,205733.0,4.0
7,I'm Still In Love With You,,New Edition,,,,,,,,,,,,,,,
8,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",,Barbra Streisand & Bryan Adams,,,,,,,,,,,,,,,
9,Macarena (Bayside Boys Mix),,Los Del Rio,,,,,,,,,,,,,,,
10,It's All Coming Back To Me Now,It's All Coming Back to Me Now,Celine Dion,['Céline Dion'],5EQzuYfTZt7B2LqlvTF49l,0.384,0.438,0.0,-9.149,1.0,0.0362,0.753,0.0,0.101,0.287,87.903,456867.0,4.0
11,Pony,Pony,Ginuwine,['Ginuwine'],6mz1fBdKATx6qP4oP1I65G,0.749,0.605,8.0,-9.359,0.0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733.0,4.0
12,"Fly Like An Eagle (From ""Space Jam"")",,Seal,,,,,,,,,,,,,,,
13,"Last Night (From ""The Nutty Professor"")",,Az Yet,,,,,,,,,,,,,,,
14,When You Love A Woman,When You Love a Woman,Journey,['Journey'],4b79AEQyxEVoiGMyBUv0io,0.514,0.514,1.0,-5.82,1.0,0.0275,0.253,0.0,0.258,0.218,132.145,246987.0,4.0
15,If It Makes You Happy,If It Makes You Happy,Sheryl Crow,['Sheryl Crow'],5XrfFo0JFOnWD9ZMNXGkQh,0.543,0.681,7.0,-7.091,1.0,0.0289,0.0482,8.43e-05,0.104,0.292,95.415,323400.0,4.0
16,Where Do You Go,Where Do You Go,No Mercy,['No Mercy'],37tzoWY1ubBQKGXiWdO5Qv,0.734,0.828,10.0,-11.018,0.0,0.0318,0.0346,0.118,0.071,0.964,127.06,272093.0,4.0
17,What Kind Of Man Would I Be,What Kind Of Man Would I Be,Mint Condition,['Mint Condition'],5qR3pYQIC10S7aD2YBjgui,0.651,0.498,0.0,-8.868,0.0,0.0318,0.39,0.0,0.143,0.423,109.906,264600.0,4.0
18,No Time,,Lil' Kim Featuring Puff Daddy,,,,,,,,,,,,,,,
19,I Love You Always Forever,I Love You Always Forever,Donna Lewis,['Donna Lewis'],1PEqh7awkpuepLBSq8ZwqD,0.744,0.453,5.0,-11.977,1.0,0.0348,0.627,0.421,0.0898,0.122,103.773,239960.0,4.0
20,This Is For The Lover In You,,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",,,,,,,,,,,,,,,
21,Falling,Falling,Montell Jordan,['Montell Jordan'],6b0mf7tkMei83pEeITIqIf,0.742,0.424,0.0,-5.696,1.0,0.0457,0.119,0.0104,0.263,0.414,79.956,241533.0,4.0
22,Street Dreams,Street Dreams,Nas,['Nas'],0QnGI4OgY8ReggLWvEXdgD,0.752,0.611,11.0,-8.681,0.0,0.315,0.21,0.0,0.778,0.746,90.993,279933.0,4.0
23,"You Must Love Me (From ""Evita"")",,Madonna,,,,,,,,,,,,,,,
24,Twisted,Twisted,Keith Sweat,['Keith Sweat'],69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,11.0,-9.759,1.0,0.0466,0.393,0.0,0.248,0.822,175.849,260667.0,4.0
25,Cold Rock A Party,Cold Rock a Party,MC Lyte,['MC Lyte'],1iVdwLsbPsKnqUoZOWlEqv,0.896,0.744,11.0,-5.239,0.0,0.246,0.192,1.19e-06,0.108,0.744,92.91,247307.0,4.0
26,"Tell Me (From ""Eddie"")",,Dru Hill,,,,,,,,,,,,,,,
27,Foolish Games/You Were Meant For Me,,Jewel,,,,,,,,,,,,,,,
28,Change The World,Change the World,Eric Clapton,['Eric Clapton'],6BQNJ0JFKh8sWjQLI6Zudi,0.721,0.558,9.0,-8.8,1.0,0.0246,0.492,0.00563,0.113,0.542,96.887,234867.0,4.0
29,This Is Your Night,This Is Your Night,Amber,['Amber'],5p0rUHicpwMZil8RlNGGth,0.674,0.908,9.0,-3.262,0.0,0.0325,0.0714,0.000104,0.121,0.861,127.99,238160.0,4.0
30,Ooh Aah... Just A Little Bit,Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,Gina G,"['Gina G', 'Motiv8']",7kyMLaXepcGHIrsLqoiTB8,0.647,0.942,1.0,-7.101,1.0,0.0341,0.626,0.168,0.0411,0.937,130.978,203120.0,4.0
31,You're Makin' Me High/Let It Flow,,Toni Braxton,,,,,,,,,,,,,,,
32,Come See Me,Come See Me,112,['112'],0uuu6GPfF36MPr6SKMHvuF,0.701,0.378,5.0,-9.259,0.0,0.0664,0.0263,0.0,0.0649,0.604,83.796,265760.0,4.0
33,Between You And Me,Between You And Me - Remastered 2013,dc Talk,['DC Talk'],3B6MzBBeXsTI4GURPavO1s,0.554,0.912,9.0,-4.315,0.0,0.0376,0.14,0.0421,0.064,0.515,99.712,298760.0,4.0
34,Steelo,Steelo,702,['702'],5OQO6NEs89flntUWPtXUiG,0.767,0.731,8.0,-8.109,0.0,0.114,0.103,0.00364,0.102,0.678,90.997,257960.0,4.0
35,ATLiens,ATLiens,OutKast,['Outkast'],2vfvGlqCB7oertO5VLE0sz,0.918,0.734,11.0,-2.832,0.0,0.269,0.0296,8.01e-06,0.191,0.608,97.044,230693.0,4.0
36,Counting Blue Cars,Counting Blue Cars (Tell Me Your Thoughts On God),Dishwalla,['Dishwalla'],6B618H5CuCdEzcVs0NKTlt,0.454,0.79,11.0,-4.361,0.0,0.0285,0.00604,3.09e-05,0.225,0.362,100.225,291907.0,4.0
37,Never Leave Me Alone,,Nate Dogg Featuring Snoop Doggy Dogg,,,,,,,,,,,,,,,
38,Key West Intermezzo (I Saw You First),Key West Intermezzo (I Saw You First),John Mellencamp,['John Mellencamp'],43bvQNBz3LPzTxEgPSs9qQ,0.673,0.858,11.0,-6.511,1.0,0.027,0.005,1.92e-05,0.274,0.959,116.477,294293.0,4.0
39,You Learn/You Oughta Know,,Alanis Morissette,,,,,,,,,,,,,,,
40,"Space Jam (From ""Space Jam"")",,Quad City DJ's,,,,,,,,,,,,,,,
41,When You're Gone/Free To Decide,,The Cranberries,,,,,,,,,,,,,,,
42,Let's Make A Night To Remember,Let's Make A Night To Remember,Bryan Adams,['Bryan Adams'],3wgNhWuV5gkcEkTgMBNcoA,0.469,0.621,0.0,-6.763,1.0,0.0253,0.205,0.000776,0.135,0.395,175.906,378907.0,4.0
43,Bow Down,Bow Down,Westside Connection,['Westside Connection'],2Vpj5colB0MPy3Zg5SITEC,0.897,0.458,9.0,-11.01,1.0,0.279,0.0208,0.0,0.419,0.513,92.928,206827.0,4.0
44,My Boo,My Boo - Hitman's Club Mix,Ghost Town DJ's,['Ghost Town DJs'],4c0rkFPszqQTyC753tsCMU,0.885,0.477,6.0,-9.196,0.0,0.0664,0.000131,0.000664,0.336,0.691,130.078,346840.0,4.0
45,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",,Mack 10 & Tha Dogg Pound,,,,,,,,,,,,,,,
46,Thirty-Three,Thirty-Three - Remastered 2012,The Smashing Pumpkins,['The Smashing Pumpkins'],1fPKWu8NKS1ZGHjFZ5QCAs,0.607,0.333,6.0,-12.717,1.0,0.0324,0.000968,0.4,0.151,0.0802,126.619,250293.0,4.0
47,Loungin,Loungin (Who Do Ya Luv) - Remix,LL Cool J,['LL Cool J'],0UN5OvKlbg06LnZyVk48ll,0.817,0.584,7.0,-9.785,1.0,0.174,0.432,0.00609,0.225,0.501,99.947,229373.0,4.0
48,Knocks Me Off My Feet,Knocks Me Off My Feet,Donell Jones,['Donell Jones'],4o1E2c0ye1RlIJJqOM0dqP,0.469,0.594,7.0,-8.209,1.0,0.0403,0.0663,0.0,0.0806,0.485,167.223,222760.0,4.0
49,"Missing You (From ""Set It Off"")",,"Brandy, Tamia, Gladys Knight & Chaka Khan",,,,,,,,,,,,,,,
50,If Your Girl Only Knew,If Your Girl Only Knew,Aaliyah,['Aaliyah'],1WKz2dJbsK0S56zvpnhFWU,0.841,0.741,9.0,-3.487,0.0,0.0359,0.137,0.000445,0.11,0.834,88.408,290960.0,4.0
51,Without Love,Without Love,Donna Lewis,['Donna Lewis'],4qb9W8qLJLt1hisMYnJP3u,0.66,0.604,5.0,-8.318,1.0,0.0323,0.00646,0.0104,0.0907,0.779,91.671,222440.0,4.0
52,I Like It,"I Like It (Like That) (feat. Ray Barretto, Sheila E., Tito Nieves, Tito Puente, Paquito D'Rivera, Dave Valentin & Grover Washington, Jr.) - Radio Mix",The Blackout Allstars,"['The Blackout Allstars', 'Ray Barretto', 'Sheila E.', 'Tito Nieves', 'Tito Puente', ""Paquito D'Rivera"", 'Dave Valentin', 'Grover Washington, Jr.', ""Bobby D'Ambrosio""]",57laKLECmh8J3TvFfJxT2g,0.763,0.844,1.0,-7.291,1.0,0.0523,1.55e-05,0.418,0.114,0.774,128.042,227093.0,4.0
53,I'm Not Giving You Up,,Gloria Estefan,,,,,,,,,,,,,,,
54,If We Fall In Love Tonight,If We Fall in Love Tonight,Rod Stewart,['Rod Stewart'],3yhHZaToQ3ZxN1A4GzByZR,0.677,0.572,1.0,-11.266,1.0,0.0388,0.505,0.0,0.0732,0.455,87.913,340507.0,4.0
55,It's Your Body,,Johnny Gill Featuring Roger Troutman,,,,,,,,,,,,,,,
