,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Single Ladies (Put A Ring On It),Single Ladies (Put a Ring on It),Beyonce,['Beyoncé'],2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437,193213.0,4.0
1,Live Your Life,,T.I. Featuring Rihanna,,,,,,,,,,,,,,,
2,Just Dance,,Lady Gaga Featuring Colby O'Donis,,,,,,,,,,,,,,,
3,Heartless,Heartless,Kanye West,['Kanye West'],4EWCNWgDS8707fNSZ1oaA5,0.79,0.647,10.0,-5.983,0.0,0.136,0.0515,0.0,0.248,0.654,87.999,211000.0,4.0
4,Womanizer,Womanizer,Britney Spears,['Britney Spears'],4fixebDZAVToLbUCuEloa2,0.724,0.695,11.0,-5.226,1.0,0.0622,0.073,0.0,0.0889,0.235,139.0,224400.0,4.0
5,Hot N Cold,Hot N Cold,Katy Perry,['Katy Perry'],1y4eb6hmAvsqlDOl3fx9kk,0.706,0.841,7.0,-3.956,1.0,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227.0,4.0
6,Love Story,Love Story,Taylor Swift,['Taylor Swift'],1vrd6UOGamcKNGnSHJQlSt,0.618,0.741,2.0,-3.95,1.0,0.031,0.17,0.0,0.0822,0.296,118.984,235267.0,4.0
7,Love Lockdown,Love Lockdown,Kanye West,['Kanye West'],1kxeWHF9PrCVZHvVskv8lg,0.76,0.524,1.0,-7.67,0.0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307.0,4.0
8,Whatever You Like,Whatever You Like,T.I.,['T.I.'],1IAzD1muglOxOcPbUHs70R,0.68,0.687,9.0,-6.162,0.0,0.0709,0.0161,0.0,0.261,0.467,150.053,249533.0,4.0
9,If I Were A Boy,If I Were a Boy,Beyonce,['Beyoncé'],26NX1wPt1TRCH536yocd6i,0.632,0.518,6.0,-6.126,1.0,0.0313,0.107,0.0,0.354,0.427,90.007,249147.0,4.0
10,Circus,Circus,Britney Spears,['Britney Spears'],7jk7gqyEonmVVYahZN5zhW,0.791,0.733,6.0,-5.215,0.0,0.052,0.147,0.000381,0.0713,0.761,114.98,192360.0,4.0
11,I'm Yours,I’m Yours,Jason Mraz,"['Jason Mraz', 'Philip Lawson', ""The King's Singers""]",5smPViFYtztTo7ww9gJXpD,0.549,0.107,0.0,-16.147,1.0,0.0844,0.957,0.0,0.111,0.307,74.63,219053.0,4.0
12,Let It Rock,,Kevin Rudolf Featuring Lil Wayne,,,,,,,,,,,,,,,
13,Miss Independent,Miss Independent,Ne-Yo,['Ne-Yo'],34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1.0,-5.693,1.0,0.115,0.522,0.0,0.235,0.713,171.86,232000.0,4.0
14,Right Now (Na Na Na),Right Now (Na Na Na),Akon,['Akon'],1ARJhjuI6TNYZCxYygFQ4F,0.832,0.87,8.0,-4.2,0.0,0.167,0.267,0.0,0.412,0.566,138.003,240747.0,4.0
15,So What,So What,P!nk,['P!nk'],0JiY190vktuhSGN6aqJdrt,0.534,0.87,11.0,-3.078,0.0,0.0425,0.000334,0.0,0.241,0.462,126.019,215160.0,4.0
16,Gotta Be Somebody,Gotta Be Somebody,Nickelback,['Nickelback'],06T10fEzN8ZCcqzQZYA184,0.536,0.89,0.0,-5.222,1.0,0.0601,0.000354,0.00165,0.133,0.205,115.998,252653.0,4.0
17,Rehab,Rehab,Rihanna,['Rihanna'],5X3ahLXhOw16BR09GjYPUT,0.583,0.792,1.0,-5.894,1.0,0.0533,0.00321,4.92e-05,0.315,0.397,80.055,294720.0,4.0
18,Gives You Hell,Gives You Hell,The All-American Rejects,['The All-American Rejects'],6ihL9TjfRjadfEePzXXyVF,0.718,0.691,4.0,-6.44,1.0,0.0387,0.0159,0.0,0.0627,0.552,100.008,213107.0,4.0
19,Chicken Fried,Chicken Fried,Zac Brown Band,['Zac Brown Band'],0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,6.0,-4.25,1.0,0.0418,0.645,0.0,0.114,0.805,169.861,238147.0,4.0
20,Mrs. Officer,,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,,,,,,,,,,,,,,,
21,Pop Champagne,,Jim Jones & Ron Browz Featuring Juelz Santana,,,,,,,,,,,,,,,
22,Disturbia,Disturbia,Rihanna,['Rihanna'],2VOomzT6VavJOGBeySqaMc,0.707,0.813,11.0,-4.515,0.0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627.0,4.0
23,Green Light,,John Legend Featuring Andre 3000,,,,,,,,,,,,,,,
24,One More Drink,One More Drink,Ludacris Co-Starring T-Pain,"['Ludacris', 'T-Pain']",3FKxzkeotnNsCjhpICJhz7,0.511,0.752,10.0,-4.609,1.0,0.281,0.051,0.0,0.29,0.602,96.791,220827.0,4.0
25,Addicted,Addicted,Saving Abel,['Saving Abel'],3pxCXv0NACYfYnLjFcQW5D,0.512,0.864,7.0,-4.146,1.0,0.0338,0.000821,0.0,0.0982,0.527,138.018,222827.0,4.0
26,Can't Believe It,,T-Pain Featuring Lil Wayne,,,,,,,,,,,,,,,
27,Chopped 'N' Skrewed,,T-Pain Featuring Ludacris,,,,,,,,,,,,,,,
