,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
147,,In My Pocket,,"['Pimp C', 'Boosie Badazz', 'Bun B']",2GyiPfu3exRASKLKZ8p6FB,0.772,0.746,8.0,-4.334,1.0,0.152,0.0173,0.0,0.0875,0.719,155.967,259733.0,4.0
148,,Silver And Cold,,['AFI'],6RGV97HIkgZJjme2dzilfg,0.412,0.839,3.0,-4.543,0.0,0.0369,0.00258,7.1e-06,0.333,0.37,130.09,250707.0,1.0
149,,Dracula's Wedding (feat. Kelis),,"['Outkast', 'Kelis']",2EFHXO4zJRitZLpE1ztsWO,0.771,0.649,10.0,-6.91,0.0,0.0497,0.296,0.000238,0.147,0.661,101.934,152413.0,4.0
150,,Haunted,,['Evanescence'],6Z77oDcn6iI1MHFCBPjl24,0.364,0.861,4.0,-4.588,0.0,0.0617,0.00959,0.00449,0.107,0.16,155.672,185440.0,4.0
151,,The Way You Move (feat. Sleepy Brown),,"['Outkast', 'Sleepy Brown']",5z7mYFfhw6N6f23VwrokJD,0.871,0.597,5.0,-4.932,0.0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000.0,4.0
152,,Jesus Freak,,['DC Talk'],5ID6qIRs04r4fMajBDY7uK,0.6,0.87,5.0,-4.719,0.0,0.0429,0.0125,0.000128,0.513,0.468,104.444,287173.0,4.0
153,,The Artist In The Ambulance,,['Thrice'],0arNrzPygksLY2pEbRgBjw,0.522,0.88,5.0,-4.104,0.0,0.0633,9.38e-05,0.00111,0.0812,0.701,174.762,219267.0,4.0
154,,Sway,,['Michael Bublé'],2ajUl8lBLAXOXNpG4NEPMz,0.713,0.639,2.0,-5.529,0.0,0.0313,0.753,0.0,0.0878,0.737,125.959,188067.0,4.0
155,,Kathy's Song - Victoria Mix by VNV Nation,,"['Apoptygma Berzerk', 'VNV Nation']",6a9aFMampfnI6ZKvnyAGzm,0.603,0.777,8.0,-7.699,1.0,0.0303,0.108,0.36,0.135,0.376,122.179,461893.0,4.0
156,,Calling All Angels,,['Train'],0E29BKKGCJHcb7b9oIWgGB,0.454,0.839,3.0,-5.368,1.0,0.0441,0.0746,0.0,0.279,0.529,166.166,242200.0,4.0
157,,Aunque no te pueda ver,,['Alex Ubago'],2425UlXvkIkAEJAtAd8ROm,0.594,0.457,4.0,-8.673,1.0,0.0303,0.612,0.0,0.1,0.205,117.989,266667.0,4.0
158,,Girl's Not Grey,,['AFI'],3fttmSWGThBQTNkuHMoCTN,0.389,0.905,8.0,-4.494,0.0,0.0354,0.00844,0.00016,0.124,0.672,121.836,190493.0,4.0
159,,Cójela Que Va Sin Jockey,,"['Luny Tunes', 'Noriega', 'Daddy Yankee']",5PlXm1EYkNmVH3o85Bpfql,0.834,0.826,0.0,-7.036,1.0,0.067,0.127,6.33e-06,0.0924,0.6,95.016,183947.0,4.0
160,,Calling You,,['Blue October'],5BqW7B2eS98AlUAwW7EFLp,0.547,0.741,0.0,-5.524,1.0,0.0349,0.0579,5.49e-05,0.215,0.433,108.845,239507.0,4.0
161,,Home,,['Three Days Grace'],11RUCSAgpexhJSMmcuO4h2,0.366,0.847,8.0,-5.216,1.0,0.035,2.64e-05,0.0,0.228,0.606,166.17,260680.0,4.0
162,,U Not Like Me,,['50 Cent'],0V4Aj5UcrbOeTsQAXziygL,0.806,0.847,11.0,-1.788,1.0,0.317,0.0556,0.0,0.0617,0.832,91.449,255667.0,4.0
163,,2 + 2 = 5,,['Radiohead'],4xkcGfpM9RwB4IiQ7yx2dB,0.442,0.717,5.0,-5.498,0.0,0.0504,0.178,5.1e-05,0.344,0.386,149.582,199360.0,4.0
164,,Magic Stick,,"[""Lil' Kim""]",0aULRU35N9kTj6O1xMULRR,0.849,0.499,2.0,-7.872,1.0,0.271,0.117,4.97e-05,0.268,0.504,92.982,359973.0,4.0
