,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,We Found Love,Rihanna Featuring Calvin Harris,,,,,,,,,,,,,,
1,Sexy And I Know It,['LMFAO'],0obBFrPYkSoBJbvHfUIhkv,0.707,0.861,7.0,-4.225,1.0,0.316,0.1,0.0,0.191,0.795,130.021,199480.0,4.0
2,It Will Rain,['Bruno Mars'],0RUGuh2uSNFJpGMSsD1F5C,0.576,0.835,2.0,-6.826,1.0,0.0486,0.337,0.0,0.082,0.476,150.017,257720.0,4.0
3,Good Feeling,['Flo Rida'],2LEF1A8DOZ9wRYikWgVlZ8,0.706,0.89,1.0,-4.444,0.0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133.0,4.0
4,The One That Got Away,['Katy Perry'],6hkOqJ5mE093AQf2lbZnsG,0.691,0.795,1.0,-4.021,0.0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333.0,4.0
5,Ni**as In Paris,"['JAY-Z', 'Kanye West']",4Li2WHPkuyCdtmokzW2007,0.789,0.858,1.0,-5.542,1.0,0.311,0.127,0.0,0.349,0.775,140.022,219333.0,4.0
6,Someone Like You,['Adele'],1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,9.0,-8.251,1.0,0.0281,0.893,0.0,0.0996,0.294,135.187,285240.0,4.0
7,Without You,David Guetta Featuring Usher,,,,,,,,,,,,,,
8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,,,,,,,,,,,,,,
9,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,,,,,,,,,,,,,,
10,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,,,,,,,,,,,,,,
11,Dance (A$$),Big Sean Featuring Nicki Minaj,,,,,,,,,,,,,,
12,Set Fire to the Rain,['Adele'],73CMRj62VK8nUS4ezD2wvi,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974.0,4.0
13,Work Out,['J. Cole'],2wAJTrFhCnQyNSD3oUgTZO,0.831,0.427,2.0,-6.903,1.0,0.106,0.0531,0.0,0.307,0.216,93.004,235320.0,4.0
14,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,,,,,,,,,,,,,,
