,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,One Sweet Day,Mariah Carey & Boyz II Men,,,,,,,,,,,,,,
1,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,,,,,,,,,,,,,,
2,Hey Lover,"['LL Cool J', 'Boyz II Men']",5wG7d4cNogw0ETKaICPEYA,0.707,0.427,5.0,-12.216,0.0,0.0698,0.339,0.0,0.105,0.541,88.08,284693.0,4.0
3,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,,,,,,,,,,,,,,
4,Diggin' On You,['TLC'],2W2vmNmTLERMWT9XBxm35E,0.719,0.631,6.0,-7.411,1.0,0.0451,0.0235,0.702,0.0686,0.456,80.127,254560.0,4.0
5,Free As A Bird - Anthology 1 Version,['The Beatles'],6hLY3Tz1Xt5kBuKNDTs4ib,0.474,0.503,9.0,-9.074,1.0,0.0279,0.0438,0.016,0.153,0.457,72.323,265293.0,4.0
6,Breakfast At Tiffany's,['Deep Blue Something'],1uzWOoJdADfstQuFtQFTUn,0.622,0.829,2.0,-5.548,1.0,0.029,0.11,0.0,0.0954,0.539,110.367,257373.0,4.0
7,Fantasy,['Mariah Carey'],6xkryXuiZU360Lngd4sx13,0.669,0.727,7.0,-7.588,1.0,0.0353,0.139,0.0,0.123,0.807,102.322,243493.0,4.0
8,Before You Walk Out Of My Life/Like This And Like That,Monica,,,,,,,,,,,,,,
9,Name,['The Goo Goo Dolls'],1G8jae4jD8mwkXdodqHsBM,0.464,0.701,9.0,-5.943,1.0,0.0341,0.0691,0.00182,0.0766,0.407,73.97,270000.0,4.0
10,Missing - 2013 Remaster,['Everything But The Girl'],79WrmdVsLbwRTUCiH7cPsa,0.677,0.484,9.0,-10.506,0.0,0.0324,0.077,4.75e-05,0.135,0.697,123.534,247200.0,4.0
11,You'll See,Madonna,,,,,,,,,,,,,,
12,One Of Us,['Joan Osborne'],1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9.0,-7.899,1.0,0.0298,0.0108,1.81e-05,0.126,0.403,174.782,320467.0,4.0
13,I Got Id/Long Road,Pearl Jam,,,,,,,,,,,,,,
14,You Remind Me of Something,['R. Kelly'],01rYWOpu72uFQORnWN84C3,0.631,0.536,6.0,-7.194,1.0,0.0586,0.591,0.0,0.108,0.829,59.999,249920.0,4.0
15,Runaway,['Janet Jackson'],6ayyzu6smOchwXO1vxwfn6,0.787,0.86,1.0,-4.974,1.0,0.0344,0.364,0.041,0.0612,0.862,109.154,214933.0,4.0
16,Beautiful Life,['Ace of Base'],74jTexO94dFGyXGyeu8krd,0.749,0.988,0.0,-5.266,0.0,0.0387,0.202,0.00631,0.17,0.749,135.015,221187.0,4.0
17,Tell Me,['Groove Theory'],2lp8xjq0WTm3HZKHuDEweg,0.8,0.362,6.0,-10.849,0.0,0.0634,0.035,3.99e-06,0.0667,0.888,93.059,236067.0,4.0
18,Tonite's Tha Night,['Kris Kross'],53Bg1jmAmZ2dv1XwKYjDqo,0.743,0.523,5.0,-5.456,0.0,0.103,0.0231,0.0309,0.0701,0.789,90.974,199293.0,4.0
19,Anything,['3T'],2AtBXRPCZhtIqSGF5ap33B,0.686,0.454,10.0,-10.928,0.0,0.0328,0.43,0.00021,0.286,0.645,131.977,321000.0,4.0
20,Soon as I Get Home,['Faith Evans'],6SkGfPa77E4giShVbk9N6R,0.652,0.498,11.0,-6.2,1.0,0.0413,0.519,0.0,0.149,0.336,120.141,324280.0,4.0
21,Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10.0,-9.18,0.0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467.0,4.0
22,Back for Good - Radio Mix,['Take That'],6vcdzohhBSbNdsZBh5IRpQ,0.601,0.504,5.0,-9.761,1.0,0.0284,0.31,0.0,0.137,0.564,78.986,242267.0,4.0
23,Too Hot,['Coolio'],3YudkhBvFZDDcZF8nNtnc5,0.845,0.407,7.0,-14.983,1.0,0.203,0.089,0.00985,0.222,0.576,102.598,218933.0,4.0
24,As I Lay Me Down,['Sophie B. Hawkins'],6S8ZXzeXsfCj8qi9179McI,0.519,0.737,10.0,-8.7,1.0,0.0437,0.645,1.77e-06,0.271,0.668,82.999,248893.0,4.0
25,Be My Lover,['La Bouche'],7FoUzKTSQp25oe32pY9z5p,0.669,0.941,1.0,-5.765,0.0,0.0313,0.00129,4.3e-06,0.886,0.841,134.809,240267.0,4.0
26,Time,['Hootie & The Blowfish'],1N0UflnZhn7xOkrN2l8zxx,0.387,0.875,2.0,-5.741,1.0,0.0385,0.0373,0.0,0.152,0.238,105.1,296840.0,4.0
27,Only Wanna Be with You,['Hootie & The Blowfish'],1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6.0,-5.861,1.0,0.0355,0.107,5.19e-06,0.118,0.513,103.272,229587.0,4.0
28,Who Can I Run To,['Xscape'],0wdaPticLmmqJdhgLDJ9zI,0.71,0.545,4.0,-9.599,1.0,0.0588,0.483,0.0,0.0644,0.632,140.233,216333.0,4.0
29,Kiss from a Rose,['Seal'],3YKptz29AsOlm7WAVnztBh,0.584,0.533,10.0,-7.11,0.0,0.0305,0.684,0.0,0.306,0.224,131.745,288427.0,3.0
