,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Irreplaceable,['Beyoncé'],6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7.0,-4.637,0.0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853.0,4.0
1,I Wanna Love You,Akon Featuring Snoop Dogg,,,,,,,,,,,,,,
2,Fergalicious,"['Fergie', 'will.i.am']",1D066zixBwqFYqBhKgdPzp,0.906,0.584,8.0,-7.72,0.0,0.316,0.0576,0.0,0.128,0.831,129.055,292373.0,4.0
3,Smack That,Akon Featuring Eminem,,,,,,,,,,,,,,
4,My Love,Justin Timberlake Featuring T.I.,,,,,,,,,,,,,,
5,Say It Right,['Nelly Furtado'],2aI21FnmY7TJVKeMaoQZ0t,0.872,0.872,1.0,-6.328,1.0,0.139,0.0476,0.00112,0.0543,0.809,116.948,223080.0,4.0
6,How to Save a Life,['The Fray'],5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10.0,-4.08,1.0,0.0379,0.269,0.0,0.101,0.361,122.035,262533.0,4.0
7,We Fly High,['Jim Jones'],3RGyFugqjQjlL8XX0NW8dZ,0.506,0.799,1.0,-6.58,1.0,0.38,0.0791,0.0,0.0929,0.461,120.405,236080.0,5.0
8,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,,,,,,,,,,,,,,
9,Lips Of An Angel,['Hinder'],40LQiUUUKXVGyNs09lHVjW,0.476,0.736,2.0,-5.38,1.0,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,261853.0,4.0
10,It Ends Tonight,['The All-American Rejects'],1FMHNVeJ9s1x1l1WlaRs2I,0.454,0.636,0.0,-4.731,1.0,0.0273,0.00228,0.0,0.154,0.313,87.89,244827.0,4.0
11,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",0O45fw2L5vsWpdsOdXwNAR,0.967,0.583,7.0,-5.562,0.0,0.0789,0.0584,0.0,0.0519,0.964,117.0,242733.0,4.0
12,Walk It Out,['Unk'],6PBAPjshd2JfEiWpdf3C2a,0.794,0.777,1.0,-3.696,0.0,0.0813,0.0982,0.0,0.202,0.706,160.022,173040.0,4.0
13,Promise,['Ciara'],1pLdjo3lOBbMaoR4ZpybFH,0.697,0.629,9.0,-5.757,1.0,0.0425,0.409,3.8e-06,0.0819,0.439,123.279,267413.0,4.0
14,Money Maker,Ludacris Featuring Pharrell,,,,,,,,,,,,,,
15,Welcome to the Black Parade,['My Chemical Romance'],5wQnmLuC1W7ATsArWACrgW,0.217,0.905,2.0,-4.103,1.0,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107.0,4.0
