,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
37,Honky Tonk Badonkadonk,['Trace Adkins'],5iDfnRTdV2mrvMK886TLRg,0.643,0.919,2.0,-3.487,1.0,0.0551,0.338,0.0,0.0555,0.823,114.982,241133.0,4.0
38,Must Be Doin' Somethin' Right,['Billy Currington'],6TefPQD0oc88BNALpu4U87,0.489,0.647,9.0,-3.424,1.0,0.027,0.205,0.0,0.0504,0.436,167.792,269587.0,4.0
39,Come A Little Closer,['Dierks Bentley'],6yFD0TSZvxydqGxLNDjZUO,0.579,0.57,5.0,-5.869,1.0,0.0227,0.0644,0.00636,0.105,0.368,80.028,281973.0,4.0
40,Shake It Off,['Mariah Carey'],4VKnkoNNM6yTb4cXXX3wqD,0.777,0.493,2.0,-6.516,1.0,0.126,0.181,0.0,0.108,0.82,134.086,232840.0,4.0
41,Girl Tonite,Twista Featuring Trey Songz,,,,,,,,,,,,,,
42,Turn It Up,Chamillionaire Featuring Lil' Flip,,,,,,,,,,,,,,
43,Tequila Makes Her Clothes Fall Off,['Joe Nichols'],6IC6VhpV7D8T1t037Atqpu,0.664,0.706,2.0,-7.045,1.0,0.027,0.129,1.06e-06,0.0857,0.681,93.968,187053.0,4.0
44,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,,,,,,,,,,,,,,
45,Window Shopper,['50 Cent'],1bevrs76fdGW3y03R5q6GB,0.539,0.672,5.0,-4.972,0.0,0.195,0.0626,0.0,0.388,0.384,174.148,191813.0,4.0
46,Unpredictable,Jamie Foxx Featuring Ludacris,,,,,,,,,,,,,,
47,Georgia,Ludacris & Field Mob Featuring Jamie Foxx,,,,,,,,,,,,,,
48,"Unbreakable - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005",['Alicia Keys'],2DRcaAO76feWOoWCWP1cPp,0.504,0.429,8.0,-12.735,0.0,0.232,0.0145,0.00149,0.628,0.33,83.711,274000.0,4.0
49,We Belong Together,['Mariah Carey'],3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0.0,-7.89,1.0,0.0601,0.0339,0.0,0.09,0.762,139.986,201400.0,4.0
50,Unwritten,['Natasha Bedingfield'],3U5JVgI2x4rDyHGObzJfNf,0.706,0.8,5.0,-6.333,1.0,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333.0,4.0
51,Shake That,Eminem Featuring Nate Dogg,,,,,,,,,,,,,,
52,Like We Never Loved at All,['Faith Hill'],5tdbsJQ86BVvjmpTikVP7q,0.497,0.468,2.0,-8.182,1.0,0.0286,0.0817,0.0,0.112,0.285,133.789,257693.0,4.0
