year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,accuracy,recall,precision
1980,16.15954016212581,9.46456633911043,38.68311813091622,0.7007259844377863,100.0,6.8376967565790645,92.69171176598977,78.051668488934,71.84288804366656,93.5170255801785,56.742800299795704,67.24086820089975,100.0,100.0,100.0
1981,12.753535185201804,0.0,10.572287163240448,0.15226955683502577,91.1357245233539,4.300201687470825,100.0,65.72807530837471,92.61697495398612,79.22967001083944,45.34603895150365,65.00733450119162,73.16081705074778,79.03796164714818,73.08594281245486
1982,31.38970926929708,10.114803045871511,27.602930597547022,0.0,77.35626564610088,9.417041868119272,83.4397632295103,74.0354209551508,48.0715411526336,86.91270947649902,47.789647593398605,61.69288516065339,67.97932415417867,89.79842812699226,62.0371004344884
1983,41.99841098209563,42.76689865229908,73.75775917098876,11.581772732386627,57.95423547612053,7.533977055361827,43.39153947091462,56.63854207670531,42.462438308769286,100.0,68.837626253622,71.34585739693905,53.5097624101583,61.27906586461167,51.5850881370858
1984,45.776598917630054,63.41616722717154,38.69598687912795,17.995330677262267,78.34404566272983,2.779166201256033,27.987638480924787,64.853710750716,66.3360121344699,98.58185917137965,59.751036939810255,88.06480965509958,66.89025407424074,53.12230181584972,72.33841210606454
1985,41.354069283672565,64.02249291287075,69.20362625001873,4.845955506290727,68.70638083790394,2.1663145137214643,31.649579052600313,80.0815614248865,55.27559161833171,97.00602635981038,57.009135732957695,95.66913223636516,69.40928215531594,65.7803623583329,71.31902716537753
1986,37.705903585044,61.26392616460031,52.203203295803135,3.6135704091176204,63.447455052624214,0.0,39.08257328119635,72.94588179555517,46.33900758279906,95.72040360290858,28.892936610572324,89.81944505394819,73.79471140070697,72.79470248531611,75.77695149727461
1987,43.34324928268357,62.62716945180842,56.69313614614542,3.4031329439944478,62.785128914500454,4.550501278324317,30.795718636157204,56.94171674339342,30.252874752229005,95.9226852252296,45.037611039726066,88.23084840049108,64.47504096300463,48.41255086324823,73.05725526268859
1988,45.42310375963736,61.58756422703506,56.19101056665835,0.5519442560451197,67.03837896792177,7.240123374853234,35.00969829777375,76.56048268823247,0.0,89.83137175884181,47.486068717156485,84.20926323169454,56.943442878414984,51.26312564782022,60.78454607112745
1989,28.523441810444695,62.903973053626395,44.600075755663724,6.747326688229011,86.27374628479517,8.596556887291595,34.67702078751761,47.507903236636324,16.825947718501475,79.36793668236525,41.39188711127258,86.62245125206859,62.99836158368436,45.56197513053119,70.77446987857387
1990,38.55383795911075,63.26510259071312,14.730705340557895,12.637551742737262,76.72748968592175,15.729857228632063,17.46063719124777,45.360423044174794,17.269390238185174,71.91782069682301,25.846494970856444,94.26222072673104,78.6408773938279,84.17386972561053,78.51840441470667
1991,54.43291899201525,54.45546572377536,41.038610427150054,8.207379461714659,64.44280958795477,17.080847511646695,11.337784176619605,100.0,34.20462065191525,67.90398557812894,34.816141148471516,97.36527746294882,70.88856676044006,54.81343252448961,77.98325616813639
1992,54.030848012247986,56.94910293760898,84.25799358874318,14.176306376850883,34.10803713037304,21.148549472906915,5.857993312452925,91.6192803064373,26.145642127454256,59.368354878512264,34.74387439304371,100.0,80.85132027624195,62.67256621561502,90.88426874248552
1993,63.560875817141095,38.02351363830809,94.66174282212306,17.474359159713938,53.176662692903086,31.821843752131496,16.74473160813532,88.52853481385571,72.0373432558366,53.371773517927025,32.70636216413612,94.65387474149273,78.12487194597807,75.48250065327198,80.94612472515985
1994,64.32434908087332,37.73302409839371,100.0,30.505607369953463,50.488769718290925,41.72814894421938,36.80537933331193,51.05266175857176,49.63773744909223,61.14739478357899,37.28252713161013,85.72437835507782,66.13216387757107,83.87861636794408,61.317361477096554
1995,62.0267405508725,41.30887825159381,65.98607321169597,39.23925652769075,42.66402489318006,40.07124733331054,35.63326162661796,74.48195795755127,34.20594274268286,54.931266834688074,16.092568110873255,80.57132823071481,59.26437771730956,49.5758036383744,64.53732673380831
1996,60.75938293462521,32.67714439828934,37.44222140565236,42.770953587107385,26.199229327026995,42.19088214223352,46.46706343070077,64.5805587503658,64.7060318731744,55.579902110157356,19.942625821521542,87.54629840741418,59.214702494768886,48.366920428243084,63.93388902632155
1997,84.61828332333297,30.456433126323557,53.10457158071937,46.25024551305379,32.59782115264625,42.64357356788702,40.54680378093094,93.53222665790703,28.606703027850617,61.887029704914056,26.493299307929842,82.47960221190085,60.78643074274992,67.90000254102908,58.87628433869014
1998,77.91852963862979,31.54899927132134,22.1026352578861,52.44792680602702,46.141950231135475,46.92683016574831,35.997463747009014,49.89435637484056,22.763606713399874,50.85181590085618,11.586941047023606,73.21993835623981,70.22483014291304,72.89569606561469,70.3355068299797
1999,57.01148893820039,51.28807192495992,71.50646952919286,64.20933782007717,57.9058021236348,39.86186963860817,25.28060778192588,39.72252061350845,31.48250214252003,49.6926513873931,4.702209889629403,67.39320175593737,54.55231301204402,53.319930353047596,55.22524221231215
2000,75.78092286858032,75.95216507340224,27.18990485522021,76.75900710744305,32.732765708690195,41.819978563306044,13.587478461480512,19.800760119739554,3.803718753677771,60.825053355375616,12.280362879168152,70.84789006725158,67.09073311378717,56.62632498548385,71.50633660020807
2001,66.0532344360154,73.80709518307246,52.07617262453039,81.31855711024191,35.40269321480588,53.06690026115303,23.250406538298325,26.967237605760765,46.993337409318876,60.57366608640354,0.0,64.59315394265604,52.60292634958484,44.33634388391369,57.63088510565846
2002,45.94739011304574,82.16767309568101,39.01789869907354,87.74497322410068,20.630254843789807,60.92166558197977,15.968827889945548,15.23849814165213,8.169223746022531,58.62887785314709,18.416546208323485,63.89617444898872,61.58182052789647,51.297085363786266,65.31473584119544
