,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,1980,0.5245811394891945,0.5200564047151277,5.056974459724951,-11.508662082514734,0.7190569744597249,0.0682385068762279,0.4437475852652259,0.15524380314341849,0.21066974459724952,0.5895074656188605,120.08723968565815,254254.3536345776
1,1981,0.5173824634655533,0.5448624425887265,5.235908141962422,-11.798215031315241,0.7306889352818372,0.0718536534446764,0.4053025764091858,0.1683118048434238,0.2448171189979123,0.5675663883089771,121.2904133611691,249672.90605427974
2,1982,0.5250813253012048,0.5350946546184738,5.126506024096385,-11.972074297188755,0.7570281124497992,0.07057951807228915,0.4102078712851405,0.1446919760441767,0.24179156626506024,0.568782530120482,120.54201807228917,250312.10040160644
3,1983,0.5129864603481623,0.5083402707930367,5.408123791102515,-12.787642166344295,0.688588007736944,0.07407872340425531,0.4480355435396518,0.19388694170212767,0.21590232108317214,0.5557922630560929,119.31068085106384,245436.09671179883
4,1984,0.5327958932238193,0.5060722176591376,5.262833675564682,-12.811071868583163,0.7063655030800822,0.0948811088295688,0.443677784661191,0.1678761404517454,0.21285626283367556,0.5375979466119096,116.1774045174538,257143.4024640657
5,1985,0.5366472049689441,0.546583685300207,4.910973084886129,-12.137817805383023,0.7432712215320911,0.07481614906832298,0.4065150097308488,0.1713251656521739,0.2256296066252588,0.5595484472049689,120.27335403726708,251012.91511387163
6,1986,0.5170674180327869,0.5209318299180328,4.82172131147541,-13.014786885245902,0.7090163934426229,0.07799364754098362,0.4317741765778688,0.19012947092213114,0.21755471311475408,0.5292694672131147,119.41984426229509,263727.4918032787
7,1987,0.5185657387580299,0.5319597066381156,5.19914346895075,-12.60488222698073,0.721627408993576,0.07100877944325483,0.42683048629550324,0.1689726437901499,0.22657880085653104,0.5300389721627409,116.79578800856531,249328.8501070664
8,1988,0.5089798701298701,0.5147802597402598,5.212121212121212,-12.820690476190476,0.7164502164502164,0.07938896103896104,0.4481599424025974,0.16477711835497835,0.2406735930735931,0.529526645021645,117.57731818181817,255744.4329004329
9,1989,0.5332816810344828,0.5202809051724138,5.174568965517241,-12.617381465517242,0.7241379310344828,0.07245237068965517,0.4380095867241379,0.15185084034482763,0.2172198275862069,0.5459010775862069,119.67353017241379,252190.9202586207
10,1990,0.5120840354767184,0.4920131707317073,5.130820399113082,-12.974975609756097,0.6940133037694013,0.07168647450110865,0.44612128725055433,0.18878760625277163,0.2250740576496674,0.5276955654101996,117.63427050997782,255955.70731707316
11,1991,0.5387059734513274,0.46945420353982303,5.311946902654867,-12.72520575221239,0.7411504424778761,0.07586061946902656,0.4601408984292035,0.17870012756637169,0.2015896017699115,0.5278896017699114,116.41835176991151,252081.79424778762
12,1992,0.5297018604651162,0.5234967674418605,5.17906976744186,-12.369209302325581,0.7511627906976744,0.07574953488372094,0.3987258528837209,0.18851556879069767,0.2172302325581395,0.5494216279069768,119.29856976744185,246976.76046511627
13,1993,0.5394025700934579,0.5056518457943926,5.455607476635514,-12.353126168224298,0.7383177570093458,0.09127943925233645,0.4263507997429906,0.1640529486915888,0.23051542056074764,0.5396925233644859,119.0618691588785,247868.45093457945
14,1994,0.5348881355932203,0.5057772639225182,5.389830508474576,-12.590978208232446,0.6828087167070218,0.08185230024213075,0.4153615639709443,0.20857095772397094,0.1898,0.5268004842615012,117.5224479418886,251991.74334140436
15,1995,0.5456388888888889,0.5173095169082126,5.253623188405797,-11.417207729468599,0.7101449275362319,0.079993961352657,0.4059661344685991,0.18228914362318838,0.19946666666666665,0.5384277777777778,119.33514975845411,240141.4492753623
16,1996,0.550164935064935,0.536810103896104,5.0181818181818185,-10.7639012987013,0.7298701298701299,0.08551506493506493,0.39000028823376626,0.12756104719480518,0.21639844155844157,0.5455675324675324,121.80426493506494,243757.14545454545
17,1997,0.559277037037037,0.5515042469135802,5.533333333333333,-10.995049382716049,0.6888888888888889,0.10207358024691357,0.4048053412345679,0.15962322718518518,0.2295158024691358,0.5543140740740741,119.93098271604937,242995.04197530865
18,1998,0.542122247706422,0.5628269426605504,5.422018348623853,-10.43048623853211,0.7385321100917431,0.09001467889908257,0.389918790412844,0.16579289130733943,0.22539587155963306,0.5333580275229358,118.06002064220182,244586.79357798165
19,1999,0.5676075425790754,0.5715948905109489,5.138686131386861,-10.02065206812652,0.7177615571776156,0.09973454987834549,0.3708076868613138,0.15368975635036497,0.21406836982968375,0.5503756690997567,117.23175912408759,246227.55231143552
20,2000,0.5535384803921569,0.5799491176470588,5.455882352941177,-9.6945,0.6666666666666666,0.09473357843137255,0.36878193161764705,0.14287614409313726,0.2288982843137255,0.5287514705882354,119.76958333333334,255874.75490196078
21,2001,0.560055,0.5613154210526317,5.234210526315789,-9.6322,0.7,0.08385289473684211,0.415184294368421,0.14568083268421053,0.2096036842105263,0.5318873684210527,116.77273421052631,240497.93684210526
22,2002,0.560839898989899,0.5842037373737373,5.108585858585859,-9.380626262626263,0.7045454545454546,0.08380631313131313,0.36156173797979796,0.16435430017676764,0.2126277777777778,0.5572873737373737,120.19310101010099,241163.37878787878
23,2003,0.5518755667506297,0.6079981889168766,5.209068010075566,-8.66634256926952,0.6801007556675063,0.08586675062972293,0.34774564556675064,0.11791009299748112,0.2160093198992443,0.5391357682619647,121.31963979848865,243331.55415617127
24,2004,0.543780205655527,0.5790032395886889,5.249357326478149,-9.554565552699227,0.6812339331619537,0.0929853470437018,0.3973522185089974,0.14575463850899742,0.21352493573264786,0.5155814910025708,120.11823393316196,243132.7557840617
25,2005,0.5488706697459584,0.600961570438799,5.043879907621247,-9.092304849884526,0.6882217090069284,0.09795981524249424,0.366433397182448,0.13830533972286374,0.2282572748267898,0.5330512702078521,122.21954734411085,253171.09930715934
26,2006,0.5563237580993521,0.6148954427645789,5.308855291576674,-8.544241900647949,0.6825053995680346,0.09171900647948165,0.3339261292224622,0.12127842421166307,0.2253442764578834,0.5471244060475162,119.48603455723541,233210.62850971922
27,2007,0.5546167400881058,0.6250408590308371,5.279735682819383,-8.318504405286344,0.6475770925110133,0.09563370044052864,0.34214209539647583,0.12881774337004404,0.21364361233480178,0.5235194052863436,122.75972466960353,235171.1013215859
28,2008,0.5459247484909457,0.6187869617706236,5.050301810865191,-8.347036217303822,0.704225352112676,0.08130342052313884,0.3508890668008048,0.12737138987927565,0.20967002012072436,0.4970532575452716,119.38918913480884,246235.21730382295
29,2009,0.5526886405959032,0.599798417132216,5.303538175046555,-8.567631284916201,0.6890130353817505,0.09978957169459964,0.3619797726629423,0.1416399002979516,0.2126683426443203,0.5179480446927375,122.00094972067038,231068.9944134078
30,2010,0.5421881739130434,0.6270793043478261,5.142608695652174,-8.42631652173913,0.6765217391304348,0.08825895652173912,0.3489733644173913,0.17215194613913043,0.2181361739130435,0.5049592521739131,121.05631304347827,240204.62260869564
31,2011,0.5292146422628952,0.6140200171381032,4.963394342762063,-8.49383693843594,0.7104825291181365,0.08576489184692179,0.33594140342762063,0.17385504009983363,0.22233161397670548,0.4828765557404326,120.39971880199667,242102.9417637271
32,2012,0.5391837160751566,0.6233941962421712,5.409185803757829,-8.309526096033403,0.6597077244258872,0.0983250521920668,0.3288297148225469,0.13094608636743216,0.2087471816283925,0.4565889770354906,120.06947599164926,237508.85177453028
33,2013,0.5546789898989899,0.615122304040404,5.070707070707071,-8.563747474747476,0.6626262626262627,0.10611656565656565,0.33698733484848487,0.12769396577777778,0.2235638383838384,0.483059595959596,119.92338787878789,231613.46464646465
34,2014,0.5737746268656715,0.6126152665245203,5.095948827292111,-8.393955223880598,0.6631130063965884,0.08848230277185501,0.33343015405117266,0.12441213155650321,0.21193113006396588,0.4867138805970149,120.68061407249466,237312.44136460553
35,2015,0.5617969696969698,0.5962945894949495,5.115151515151515,-8.785771717171718,0.6868686868686869,0.08688909090909092,0.31808788543434346,0.15479457909090907,0.21004747474747476,0.4575191111111111,120.0607898989899,228560.9292929293
36,2016,0.5650074569789675,0.580416084130019,5.09942638623327,-8.703845124282985,0.6596558317399618,0.09782868068833653,0.3541283896367113,0.13860819659655832,0.19841816443594648,0.4541802198852773,120.94106500956022,219075.87189292544
37,2017,0.590218458781362,0.5844115620071685,4.862007168458781,-9.003263440860215,0.6756272401433692,0.09790394265232975,0.31963197620071687,0.12548407698924732,0.1922220430107527,0.4474110035842294,118.51487634408603,217580.71146953406
38,2018,0.623676923076923,0.598002321937322,5.2592592592592595,-8.039900284900286,0.6367521367521367,0.1083071225071225,0.30927051816239315,0.1060181368091168,0.18812108262108262,0.46549068376068375,120.48234900284899,214842.6923076923
39,2019,0.614906270096463,0.6047720578778135,5.056270096463023,-8.243985530546624,0.6045016077170418,0.12033504823151125,0.3074295948874598,0.12927507977491962,0.1772606109324759,0.4690428135048232,123.19663344051449,204572.59003215434
40,2020,0.6181974842767295,0.574909094591195,5.371069182389937,-9.054690566037735,0.6251572327044025,0.11365056603773586,0.3275001240880503,0.1629730853836478,0.18077610062893085,0.4667549182389937,120.93829811320755,194255.3283018868
41,2021,0.5698345399698341,0.5296371945701357,5.340874811463046,-11.26491101055807,0.6319758672699849,0.10592850678733033,0.4013905140422323,0.23781442666666663,0.19533574660633485,0.43987612368024137,116.46163800904978,197340.8205128205
