,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,accuracy,recall,precision
0,1980,0.6036994106090373,0.5939732809430256,5.275049115913556,-10.128605108055009,0.7524557956777996,0.05138762278978389,0.28187712259332026,0.040032981080550104,0.19037642436149313,0.6485337917485265,122.17942436149313,246593.29076620826,0.8887982915938654,0.9323921568627452,0.8541759123286953
1,1981,0.6002004175365344,0.5799582463465554,5.045929018789144,-10.155162839248433,0.7369519832985386,0.04862087682672234,0.29305123423799584,0.03462782912317328,0.1978872651356994,0.6172256784968685,120.65994572025052,244781.34237995825,0.8474561403508772,0.9102836879432624,0.8112120042695359
2,1982,0.6193453815261045,0.5949361445783133,5.184738955823293,-10.162536144578313,0.7128514056224899,0.054200000000000005,0.2677312246987951,0.03827144656626506,0.18178192771084337,0.6340616465863453,120.98574096385542,242092.50401606425,0.8394747474747474,0.9216326530612244,0.7935743272638823
3,1983,0.6302437137330754,0.6432870406189555,5.560928433268859,-9.601715667311412,0.6789168278529981,0.05214680851063829,0.20649892495164412,0.03064114232108317,0.17975396518375242,0.6627400386847195,123.79197292069632,249923.45261121856,0.8171863330843913,0.891553544494721,0.7768893919204392
4,1984,0.6341250513347022,0.6738642710472279,5.275154004106776,-9.291154004106776,0.7145790554414785,0.04696242299794661,0.18294691211498973,0.0342443305338809,0.1883854209445585,0.6596324435318275,122.58049897330594,263486.659137577,0.8377971807279613,0.8829506802721088,0.8100186930534791
5,1985,0.6295817805383023,0.6747621118012422,5.523809523809524,-9.927881987577639,0.6977225672877847,0.04629420289855073,0.18854588819875778,0.04092329594202899,0.18438654244306416,0.6561792960662527,122.21493374741202,269655.6459627329,0.8416774054982816,0.8963010204081634,0.8083914114018391
6,1986,0.6258340163934427,0.6706772540983605,5.385245901639344,-9.98755737704918,0.6885245901639344,0.04393217213114754,0.19991067008196722,0.0377935725204918,0.18115553278688523,0.6533620901639343,118.46632786885246,264910.1024590164,0.8484325689038501,0.9036989795918366,0.8155077605987369
7,1987,0.6316252676659528,0.672695931477516,5.421841541755889,-9.997747323340471,0.6873661670235546,0.04889379014989293,0.18724036573875805,0.030774114925053535,0.17533961456102784,0.6538053533190578,120.6188244111349,263621.35760171304,0.8340768702814001,0.8779833487511564,0.8111662086997367
8,1988,0.6337619047619047,0.6711564935064935,5.417748917748917,-10.135809523809526,0.6948051948051948,0.051826406926406915,0.19368339004329008,0.039378943722943725,0.16440173160173163,0.6404573593073594,120.94526623376625,260358.85714285713,0.8224754558204769,0.8809898242368177,0.7915748277922429
9,1989,0.6164008620689655,0.6731058189655172,5.323275862068965,-9.835812499999998,0.728448275862069,0.05330538793103448,0.19317473823275863,0.026636426099137932,0.17048512931034482,0.6175286637931036,120.13275646551725,262316.5495689655,0.8318022440392706,0.874976873265495,0.8075221135382067
10,1990,0.6267050997782705,0.6736405764966742,5.0798226164079825,-9.55059201773836,0.7117516629711752,0.06108314855875831,0.16685150388026607,0.025694537006651884,0.17064545454545452,0.6012031042128604,118.06015964523283,268514.2926829268,0.8558974358974358,0.9157004830917876,0.8198840440737486
11,1991,0.6430176991150443,0.660595353982301,5.29424778761062,-9.765112831858408,0.6902654867256637,0.06255619469026548,0.15748988053097346,0.04965956196902655,0.1767683628318584,0.5924075221238938,119.25604203539822,271031.639380531,0.8439560439560441,0.8847342995169083,0.8190297669966636
12,1992,0.6426046511627905,0.6642879069767442,5.6465116279069765,-9.476081395348837,0.6372093023255814,0.0669913953488372,0.14911147674418607,0.0459837616744186,0.17385465116279067,0.5737032558139535,119.2464069767442,273169.0511627907,0.8593023255813954,0.8930232558139535,0.8396241320314269
13,1993,0.6523948598130842,0.6362630841121496,5.731308411214953,-9.316380841121495,0.6705607476635514,0.07862897196261681,0.165756910046729,0.044628155257009354,0.19044672897196263,0.5605628504672897,118.97475467289722,268832.02102803736,0.8551025991792065,0.9065337763012182,0.8237595044190019
14,1994,0.653179176755448,0.6358329297820823,5.774818401937046,-8.685372881355931,0.6658595641646489,0.08943026634382568,0.1964289220338983,0.028191164334140435,0.18234818401937047,0.5776016949152543,119.58487409200968,261587.99031476997,0.8366294446076991,0.9153890824622531,0.7924253812663922
