Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
65,1.0,Had A Dream (Sleeping With The Enemy),Had A Dream (Sleeping With The Enemy),Roger Hodgson,['Roger Hodgson'],37yEfFkY54AijZUjDv0gAl,0.562,0.702,0.0,-11.913,1.0,0.0291,0.304,0.000479,0.391,0.414,132.904,506147.0,4.0,11.0
72,0.8466666666666667,Save The Last Dance For Me,Save the Last Dance for Me (with The Jordanaires),Dolly Parton,"['Dolly Parton', 'The Jordanaires']",7se8roGyU7pinYwrhOVklr,0.662,0.609,11.0,-10.865,1.0,0.0399,0.181,3.09e-05,0.0728,0.326,139.319,232721.0,4.0,11.0
53,0.9864864864864864,Remember The Night,Remember The Nights,The Motels,['The Motels'],6ZceMfTAlpxwNcK5C34wPp,0.661,0.79,9.0,-5.759,1.0,0.0311,0.0282,2.04e-06,0.125,0.784,130.848,192600.0,4.0,11.0
96,0.543030303030303,I Need You Tonight,"Symphony No. 35 in D Major, K. 385, ""Haffner"": IV. Presto",Peter Wolf,"['Wolfgang Amadeus Mozart', 'Philharmonia Hungarica', 'Peter Maag']",7BGD71Nmu1WGZzDGDO7gLy,0.36,0.18,2.0,-14.822,1.0,0.0345,0.906,0.902,0.0963,0.553,131.206,243252.0,4.0,11.0
97,1.0,Don't Let Go,Don't Let Go,Wang Chung,['Wang Chung'],0UQXREESpG0GZGPfRNO2cV,0.657,0.6,3.0,-13.324,0.0,0.0507,0.239,0.000922,0.118,0.457,140.863,261800.0,4.0,11.0
98,1.0,She's Strange,She's Strange,Cameo,['Cameo'],5QW1EprEeYRlalLAAlo0d6,0.816,0.593,1.0,-11.751,1.0,0.0867,0.136,0.0358,0.0631,0.883,109.006,431667.0,4.0,11.0
74,1.0,Love Me In A Special Way,Love Me In A Special Way,Debarge,['DeBarge'],64Qr40PagVTJhUHQyHYbB4,0.491,0.314,0.0,-14.144,1.0,0.0336,0.644,0.0,0.0916,0.192,125.685,255493.0,4.0,10.0
94,0.8095238095238095,Illegal Alien,Illegal Alien - 2007 Remaster,Genesis,['Genesis'],3luK0EopBKssq6nOSlQFpe,0.617,0.899,10.0,-8.209,1.0,0.0445,0.0882,0.0038,0.378,0.962,144.313,315253.0,4.0,10.0
79,1.0,Love Of The Common People,Love of the Common People,Paul Young,['Paul Young'],6cARFkZxx2JR3JlvDzeLZc,0.744,0.609,9.0,-11.202,1.0,0.0758,0.0883,0.0,0.0599,0.893,90.723,220733.0,4.0,10.0
73,1.0,Prime Time,Prime Time,The Alan Parsons Project,['The Alan Parsons Project'],1k1I1C7pOi7tK1kUx2DZ0N,0.798,0.633,2.0,-11.65,1.0,0.0355,0.0956,0.00027,0.0694,0.81,122.376,303347.0,4.0,10.0
64,0.9827586206896552,Tell Me If You Still Care,Tell Me If You Still Care,The S.O.S. Band,['The S.O.S Band'],0EjbVejkBlWGYrEF2YCUbA,0.584,0.781,4.0,-10.662,0.0,0.0402,0.0761,0.00533,0.101,0.923,81.155,416813.0,4.0,10.0
73,0.9090909090909092,Big Crash,The Big Crash,Eddie Money,['Eddie Money'],2sht0YYskOiCZbc8g7foCp,0.494,0.804,2.0,-5.759,1.0,0.0389,0.00328,0.00538,0.083,0.799,157.877,219440.0,4.0,10.0
99,1.0,Somebody Else's Guy,Somebody Else's Guy,Jocelyn Brown,['Jocelyn Brown'],6xEg0lNce24BEPjCjqy5JB,0.745,0.728,6.0,-9.843,1.0,0.0574,0.00353,0.0011,0.099,0.623,103.015,386027.0,4.0,10.0
90,1.0,There's No Easy Way,There's No Easy Way,James Ingram,['James Ingram'],7ePEIbrsRXk9En7noiLAo7,0.563,0.184,8.0,-16.386,1.0,0.0417,0.689,0.0,0.129,0.194,128.048,227293.0,4.0,10.0
91,1.0,Street Of Dreams,Street Of Dreams,Rainbow,['Rainbow'],2hDopFcMjFcRi5IRpTSSyr,0.555,0.648,6.0,-8.791,0.0,0.0286,0.00199,3.83e-06,0.0597,0.659,119.848,265507.0,4.0,10.0
99,1.0,Allergies,Allergies,Paul Simon,['Paul Simon'],6N9HB9cU7Vkjhy6L45RTNF,0.566,0.574,7.0,-10.153,1.0,0.0628,0.191,0.000109,0.0294,0.61,87.026,279080.0,4.0,10.0
98,1.0,When We Make Love,When We Make Love,Alabama,['Alabama'],0GvY6UcFIiAt1PkuFCIhJR,0.481,0.0758,7.0,-23.435,1.0,0.0433,0.649,0.0,0.0859,0.14,71.892,216373.0,4.0,10.0
95,0.7708333333333333,A Little Love,Love's Been A Little Bit Hard On Me,Juice Newton,['Juice Newton'],6K1b1cx8qPa6kFMPdtbdLE,0.609,0.791,9.0,-8.71,1.0,0.0317,0.114,0.0169,0.077,0.936,144.341,194733.0,4.0,10.0
91,1.0,Heaven's On fire,Heaven's On Fire,KISS,['KISS'],1brpdmqkx3kSxyqzqXfW7J,0.679,0.866,0.0,-6.053,1.0,0.0635,0.00376,3.1e-05,0.312,0.785,124.324,201400.0,4.0,10.0
98,1.0,Looks That Kill,Looks That Kill,Motley Crue,['Mötley Crüe'],5uRN4EmPA7BWs5f4xsIl0Z,0.485,0.945,0.0,-5.954,1.0,0.0402,0.0033,0.00525,0.0997,0.731,135.957,249013.0,4.0,10.0
