Unnamed: 0,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
95,0.4955436720142602,Comin Out Strong,Comin Out Strong (feat. The Weeknd),Future Featuring The Weeknd,"['Future', 'The Weeknd']",1B87ZDrD3Pno9hS4stamWO,0.628,0.481,1.0,-7.775,1.0,0.475,0.29,0.0,0.118,0.33,108.761,254370.0,5.0,3.0
89,0.5078479246599232,Chanel (Go Get It),Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug Featuring Gunna & Lil Baby,"['Young Thug', 'Young Stoner Life', 'Gunna', 'Lil Baby']",0kCBorRrKZkSztd9m0QI3r,0.938,0.5,4.0,-10.08,0.0,0.144,0.00183,0.0,0.077,0.462,140.011,201707.0,4.0,3.0
91,1.0,Taking A Walk,Taking A Walk,Trippie Redd,['Trippie Redd'],4mHgYpuGHu99Mw69E83CP2,0.767,0.538,0.0,-6.044,0.0,0.052,0.68,0.0,0.192,0.343,81.031,121680.0,4.0,3.0
78,1.0,Loser Like Me,Loser Like Me,Glee Cast,['Glee Cast'],3iAvTn62s7rvE6hm6fFodt,0.701,0.864,3.0,-4.351,1.0,0.0631,0.00331,0.0,0.0421,0.811,106.032,199000.0,4.0,3.0
91,0.6071428571428571,IDOL,IDOL,BTS Featuring Nicki Minaj,['BTS'],2AIWoHr9DF6y4KALCBKWQS,0.734,0.855,9.0,-3.211,1.0,0.118,0.00481,0.0,0.123,0.422,126.035,222732.0,4.0,3.0
82,1.0,Diplomatic Immunity,Diplomatic Immunity,Drake,['Drake'],4haJoBPbPj9QFKNpp9e8kx,0.654,0.839,9.0,-5.076,0.0,0.443,0.00531,0.0,0.308,0.549,74.886,255867.0,4.0,3.0
80,1.0,Iridescent,Iridescent,Linkin Park,['Linkin Park'],6SoUUr6i1X0GReHinApeKI,0.484,0.727,0.0,-6.107,1.0,0.0358,0.198,0.00204,0.107,0.216,120.066,296560.0,4.0,3.0
96,1.0,Sick Boy,Sick Boy,The Chainsmokers,['The Chainsmokers'],58kZ9spgxmlEznXGu6FPdQ,0.663,0.577,11.0,-7.518,0.0,0.0531,0.109,0.0,0.12,0.454,89.996,193200.0,4.0,3.0
99,1.0,ORANGE SODA,ORANGE SODA,Baby Keem,['Baby Keem'],5FkoSXiJPKTNyYgALRJFhD,0.83,0.564,1.0,-7.822,1.0,0.235,0.177,0.0,0.128,0.107,85.042,129882.0,4.0,3.0
86,1.0,Lo Mein,Lo Mein,Lil Uzi Vert,['Lil Uzi Vert'],6CUP2khYzdphXebxVTfPE3,0.855,0.676,1.0,-5.736,1.0,0.325,0.0888,0.0,0.144,0.509,133.082,195299.0,4.0,3.0
79,0.7777777777777778,Peek A Boo,Peek A Boo,Lil Yachty Featuring Migos,"['Lil Yachty', 'Migos']",1iTWoKAdilGEmit6xhQZje,0.957,0.593,1.0,-6.982,1.0,0.301,0.06,0.0,0.0908,0.284,127.027,247613.0,4.0,3.0
95,0.5518207282913166,Gucci Flip Flops,Gucci Flip Flops (feat. Lil Yachty),Bhad Bhabie Featuring Lil Yachty,"['Lil Yachty', 'Bhad Bhabie']",3hv6ndi7uFT9L9wrhQCsqY,0.82,0.603,8.0,-7.18,1.0,0.308,0.0351,0.0159,0.122,0.177,159.976,151851.0,4.0,3.0
97,0.3542319749216301,I Won,I Won (feat. Kanye West),Future Featuring Kanye West,"['Future', 'Kanye West']",2T4JE91t7Js1DJ4rSHltcQ,0.606,0.66,9.0,-5.788,1.0,0.258,0.743,0.0,0.396,0.317,83.746,239733.0,4.0,3.0
99,1.0,She Twerkin,She Twerkin,Ca$h Out,['Ca$h Out'],4foyyTPR2jUcATliukBkd9,0.837,0.762,2.0,-4.073,1.0,0.0508,0.000644,0.0,0.113,0.334,142.009,172467.0,4.0,3.0
95,1.0,Cecilia And The Satellite,Cecilia And The Satellite,Andrew McMahon In The Wilderness,['Andrew McMahon in the Wilderness'],1MSM3Fo2fvnwVqMcz8Jhjq,0.381,0.844,5.0,-7.123,1.0,0.144,0.0131,0.0,0.318,0.239,194.0,223880.0,4.0,3.0
96,1.0,Broken Clocks,Broken Clocks,SZA,['SZA'],2fXwCWkh6YG5zU1IyvQrbs,0.692,0.684,6.0,-7.364,1.0,0.155,0.131,0.0,0.156,0.406,112.912,231253.0,4.0,3.0
95,1.0,No Roots,No Roots,Alice Merton,['Alice Merton'],4CdfFYzaAJ0y0beKzmgJSn,0.863,0.657,7.0,-7.295,1.0,0.105,0.264,0.00619,0.0713,0.829,115.958,235813.0,4.0,3.0
96,1.0,Nobody Else But You,Nobody Else but You,Trey Songz,['Trey Songz'],1HOUzEsetdIPSpAgRPhZQt,0.708,0.612,5.0,-6.379,0.0,0.122,0.0381,0.0,0.277,0.263,139.913,229013.0,4.0,3.0
